Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating
GRAND TOTAL,,,,1011719.39,1.0,Axis Mutual Fund,AXISONF,
,,,,,,Axis Mutual Fund,AXISONF,
,,,,,,Axis Mutual Fund,AXISONF,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,Axis Mutual Fund,AXISONF,
,,,,,,Axis Mutual Fund,AXISONF,
,,,,,,Axis Mutual Fund,AXISONF,
,,,,,,Axis Mutual Fund,AXISONF,
,,,,,,Axis Mutual Fund,AXISONF,
,,,,,,Axis Mutual Fund,AXISONF,
,Benchmark Name - NIFTY 1D RATE INDEX,,,,,Axis Mutual Fund,AXISONF,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,Axis Mutual Fund,AXISONF,
Derivatives,,,,,,Axis Mutual Fund,AXISSTF,
Interest Rate Swaps,,,,,,Axis Mutual Fund,AXISSTF,
Interest Rate Swaps Pay Fix Receive Floating -DBS (22/12/2026) (FV 20000 Lacs),,,,0,$0.00%,Axis Mutual Fund,AXISSTF,
Sub Total,,,,0,$0.00%,Axis Mutual Fund,AXISSTF,
Total,,,,0,$0.00%,Axis Mutual Fund,AXISSTF,
Debt Instruments,,,,,,Axis Mutual Fund,AXISSTF,
(a) Listed / awaiting listing on Stock Exchange,,,,,,Axis Mutual Fund,AXISSTF,
6.48% Government of India (06/10/2035),IN0020250091,Sovereign,60033900.0,59526.7336,0.0466,Axis Mutual Fund,AXISSTF,
7.48% National Bank For Agriculture and Rural Development (15/09/2028),INE261F08EO7,CRISIL AAA,45000.0,45611.325,0.0357,Axis Mutual Fund,AXISSTF,
6.28% Government of India (14/07/2032),IN0020250059,Sovereign,40885300.0,40294.671,0.0315,Axis Mutual Fund,AXISSTF,
6.61% Power Finance Corporation Limited (15/07/2028) ,INE134E08NS1,CRISIL AAA,25000.0,24826.95,0.0194,Axis Mutual Fund,AXISSTF,
7.87% IndiGRID Infrastructure Trust (24/02/2027) ,INE219X07454,CRISIL AAA,19000.0,19184.395,0.015,Axis Mutual Fund,AXISSTF,
7.53% National Bank For Agriculture and Rural Development (24/03/2028) ,INE261F08EM1,ICRA AAA,18000.0,18237.384,0.0143,Axis Mutual Fund,AXISSTF,
7.4% Bharti Telecom Limited (01/02/2029) ,INE403D08298,CRISIL AAA,18000.0,17946.216,0.014,Axis Mutual Fund,AXISSTF,
Jubilant Beverages Limited (31/05/2028) (ZCB) ,INE1D4O08012,CRISIL AA,15750.0,16787.3895,0.0131,Axis Mutual Fund,AXISSTF,
6.68% Government of India (07/07/2040),IN0020250042,Sovereign,16418400.0,15931.8736,0.0125,Axis Mutual Fund,AXISSTF,
7.62% National Bank For Agriculture and Rural Development (31/01/2028) ,INE261F08DV4,CRISIL AAA,15400.0,15616.2468,0.0122,Axis Mutual Fund,AXISSTF,
8.55% Shriram Finance Limited (28/04/2028) ,INE721A07SP0,CRISIL AA+,15000.0,15330.495,0.012,Axis Mutual Fund,AXISSTF,
7.55% REC Limited (31/10/2026) ,INE020B08FH7,CRISIL AAA,15000.0,15090.57,0.0118,Axis Mutual Fund,AXISSTF,
7.123% Tata Capital Housing Finance Limited (21/07/2027) ,INE033L07IO1,CRISIL AAA,15000.0,14989.56,0.0117,Axis Mutual Fund,AXISSTF,
7.54% Government of India (23/05/2036),IN0020220029,Sovereign,14000000.0,14746.984,0.0115,Axis Mutual Fund,AXISSTF,
7.88% IndiGRID Infrastructure Trust (30/04/2029) ,INE219X07439,CRISIL AAA,12500.0,12803.9875,0.01,Axis Mutual Fund,AXISSTF,
7.73% Embassy Office Parks REIT (14/12/2029) ,INE041007159,CRISIL AAA,12500.0,12728.3125,0.01,Axis Mutual Fund,AXISSTF,
6.79% Government of India (30/12/2031),IN0020240191,Sovereign,12500000.0,12652.525,0.0099,Axis Mutual Fund,AXISSTF,
7.89% Tata Capital Limited (26/07/2027) ,INE306N07MX0,CRISIL AAA,1250.0,12610.425,0.0099,Axis Mutual Fund,AXISSTF,
6.60% REC Limited (30/06/2027) ,INE020B08FZ9,ICRA AAA,12500.0,12471.3625,0.0098,Axis Mutual Fund,AXISSTF,
7.55% L&T Metro Rail (Hyderabad) Limited (28/04/2035) ,INE128M08094,CRISIL AAA(CE),12500.0,12424.4,0.0097,Axis Mutual Fund,AXISSTF,
09.15% Shriram Finance Limited (28/06/2029) ,INE721A07SD6,CRISIL AA+,11000.0,11475.299,0.009,Axis Mutual Fund,AXISSTF,
7.44% National Bank For Agriculture and Rural Development (24/02/2028) ,INE261F08EK5,CRISIL AAA,11000.0,11121.616,0.0087,Axis Mutual Fund,AXISSTF,
7.44% Small Industries Dev Bank of India (04/09/2026),INE556F08KI9,CRISIL AAA,10500.0,10536.1515,0.0082,Axis Mutual Fund,AXISSTF,
7.27% Tata Capital Housing Finance Limited (25/04/2028) ,INE033L07IN3,CRISIL AAA,10500.0,10517.0625,0.0082,Axis Mutual Fund,AXISSTF,
7.68% Small Industries Dev Bank of India (10/08/2027) ,INE556F08KP4,CRISIL AAA,10300.0,10435.0227,0.0082,Axis Mutual Fund,AXISSTF,
8.1% Tata Capital Housing Finance Limited (13/12/2028) ,INE033L07IB8,CRISIL AAA,10000.0,10236.1,0.008,Axis Mutual Fund,AXISSTF,
7.51% Small Industries Dev Bank of India (12/06/2028) ,INE556F08KU4,CRISIL AAA,10000.0,10138.54,0.0079,Axis Mutual Fund,AXISSTF,
8.52% Muthoot Finance Limited (07/04/2028) ,INE414G07JN3,CRISIL AA+,10000.0,10133.85,0.0079,Axis Mutual Fund,AXISSTF,
7.75% Small Industries Dev Bank of India (10/06/2027) ,INE556F08KN9,CRISIL AAA,10000.0,10132.43,0.0079,Axis Mutual Fund,AXISSTF,
7.79% Small Industries Dev Bank of India (19/04/2027) ,INE556F08KK5,CRISIL AAA,10000.0,10124.15,0.0079,Axis Mutual Fund,AXISSTF,
7.74% LIC Housing Finance Limited (22/10/2027),INE115A07QZ8,CRISIL AAA,10000.0,10109.14,0.0079,Axis Mutual Fund,AXISSTF,
8.65% TVS Holdings Limited (07/06/2029) ,INE105A08022,CRISIL AA+,10000.0,10080.28,0.0079,Axis Mutual Fund,AXISSTF,
7.55% Small Industries Dev Bank of India (22/09/2026) ,INE556F08KJ7,CRISIL AAA,10000.0,10046.29,0.0079,Axis Mutual Fund,AXISSTF,
7.99% Godrej Seeds & Genetics Limited (26/12/2028) ,INE316Z08055,CRISIL AA,10000.0,10034,0.0078,Axis Mutual Fund,AXISSTF,
8.46% Aditya Birla Capital Limited (26/02/2027) (FRN) ,INE860H07IX6,ICRA AAA,10000.0,10029.04,0.0078,Axis Mutual Fund,AXISSTF,
7.99% Godrej Seeds & Genetics Limited (26/03/2029) ,INE316Z08063,CRISIL AA,10000.0,10014.57,0.0078,Axis Mutual Fund,AXISSTF,
6.73% Power Finance Corporation Limited (15/10/2027) ,INE134E08NW3,CRISIL AAA,10000.0,9998.74,0.0078,Axis Mutual Fund,AXISSTF,
7.02% Bajaj Housing Finance Limited (26/05/2028) ,INE377Y07565,CRISIL AAA,10000.0,9979.23,0.0078,Axis Mutual Fund,AXISSTF,
6.52% REC Limited (31/01/2028),INE020B08FW6,ICRA AAA,10000.0,9953.44,0.0078,Axis Mutual Fund,AXISSTF,
6.66% National Bank For Agriculture and Rural Development (12/10/2028) ,INE261F08EP4,ICRA AAA,10000.0,9933.43,0.0078,Axis Mutual Fund,AXISSTF,
6.27% Power Finance Corporation Limited (15/07/2027) ,INE134E08NT9,CRISIL AAA,10000.0,9933.33,0.0078,Axis Mutual Fund,AXISSTF,
8.15% Godrej Industries Limited (22/11/2029) ,INE233A08147,CRISIL AA+,9500.0,9619.358,0.0075,Axis Mutual Fund,AXISSTF,
7.9611% HDB Financial Services Limited (05/01/2028) ,INE756I07FB6,CRISIL AAA,9500.0,9615.14,0.0075,Axis Mutual Fund,AXISSTF,
7.299% Kotak Mahindra Prime Limited (22/09/2028),INE916DA7TD8,CRISIL AAA,9500.0,9501.52,0.0074,Axis Mutual Fund,AXISSTF,
Jubilant Bevco Limited (31/05/2028) (ZCB) ,INE1D4P08019,CRISIL AA,8750.0,9375.3275,0.0073,Axis Mutual Fund,AXISSTF,
8.1% Tata Capital Housing Finance Limited (19/02/2027) ,INE033L07IE2,CRISIL AAA,9000.0,9093.564,0.0071,Axis Mutual Fund,AXISSTF,
8.52% Muthoot Finance Limited (26/05/2028) ,INE414G07JO1,CRISIL AA+,8500.0,8618.6855,0.0067,Axis Mutual Fund,AXISSTF,
7.35% Bharti Telecom Limited (15/10/2027) ,INE403D08272,CRISIL AAA,8000.0,7990.328,0.0062,Axis Mutual Fund,AXISSTF,
7.86% Tata Capital Housing Finance Limited (21/09/2029) ,INE033L07IJ1,CRISIL AAA,7500.0,7660.3575,0.006,Axis Mutual Fund,AXISSTF,
8.40% Godrej Properties Limited (25/01/2028) ,INE484J08089,ICRA AA+,7500.0,7617.6225,0.006,Axis Mutual Fund,AXISSTF,
8.37% Aadhar Housing Finance Limited (29/05/2028) ,INE883F07389,ICRA AA,7500.0,7606.7475,0.0059,Axis Mutual Fund,AXISSTF,
7.70% National Bank For Agriculture and Rural Development (30/09/2027) ,INE261F08EI9,ICRA AAA,7500.0,7601.94,0.0059,Axis Mutual Fund,AXISSTF,
8.19% Summit Digitel Infrastructure Limited (01/11/2026) ,INE507T07112,CRISIL AAA,7500.0,7580.0625,0.0059,Axis Mutual Fund,AXISSTF,
8.10% Godrej Industries Limited (22/05/2028) ,INE233A08154,CRISIL AA+,7500.0,7570.65,0.0059,Axis Mutual Fund,AXISSTF,
7.8% Tata Capital Housing Finance Limited (05/08/2027) ,INE033L07HU0,CRISIL AAA,750.0,7569.9,0.0059,Axis Mutual Fund,AXISSTF,
7.6937% Nexus Select Trust - REIT (28/05/2027) ,INE0NDH07043,CRISIL AAA,7500.0,7548.1575,0.0059,Axis Mutual Fund,AXISSTF,
7.43% Small Industries Dev Bank of India (31/08/2026) ,INE556F08KH1,CRISIL AAA,7500.0,7524.6825,0.0059,Axis Mutual Fund,AXISSTF,
6.66% Small Industries Dev Bank of India (25/10/2028) ,INE556F08KZ3,CRISIL AAA,7500.0,7447.83,0.0058,Axis Mutual Fund,AXISSTF,
8.06% Summit Digitel Infrastructure Limited (29/01/2029) ,INE507T07120,CRISIL AAA,7000.0,7183.379,0.0056,Axis Mutual Fund,AXISSTF,
7.7165% Nexus Select Trust - REIT (14/06/2028) ,INE0NDH07035,CRISIL AAA,7000.0,7081.844,0.0055,Axis Mutual Fund,AXISSTF,
7.45% Bharti Telecom Limited (15/12/2028) ,INE403D08280,CRISIL AAA,7000.0,6996.122,0.0055,Axis Mutual Fund,AXISSTF,
7.5% West Bengal State Development Loans (03/12/2037),IN3420250166,Sovereign,6500000.0,6516.5035,0.0051,Axis Mutual Fund,AXISSTF,
8.4% DLF Cyber City Developers Limited (18/06/2027) ,INE186K07098,ICRA AAA,6400.0,6494.9184,0.0051,Axis Mutual Fund,AXISSTF,
7.3% Bharti Telecom Limited (01/12/2027),INE403D08306,CRISIL AAA,6000.0,5988.708,0.0047,Axis Mutual Fund,AXISSTF,
7.25% RJ Corp Limited (08/12/2028) ,INE460K08053,CRISIL AAA,5606.0,5587.2704,0.0044,Axis Mutual Fund,AXISSTF,
7.75% Mindspace Business Parks REIT (30/06/2026) ,INE0CCU07082,CRISIL AAA,5500.0,5523.782,0.0043,Axis Mutual Fund,AXISSTF,
8.55% Indian Railway Finance Corporation Limited (21/02/2029) ,INE053F07BA5,CRISIL AAA,500.0,5222.23,0.0041,Axis Mutual Fund,AXISSTF,
JTPM Metal Traders Limited (29/09/2028) (ZCB) ,INE02PE08036,CRISIL AA,5000.0,5143.515,0.004,Axis Mutual Fund,AXISSTF,
7.89% Summit Digitel Infrastructure Limited (30/04/2029) ,INE507T07138,CRISIL AAA,5000.0,5106.8,0.004,Axis Mutual Fund,AXISSTF,
8.05% HDB Financial Services Limited (08/08/2029) ,INE756I07EV7,CRISIL AAA,500.0,5094.55,0.004,Axis Mutual Fund,AXISSTF,
8.65% Muthoot Finance Limited (31/01/2028) ,INE414G07JL7,CRISIL AA+,5000.0,5075.5,0.004,Axis Mutual Fund,AXISSTF,
8.60% Muthoot Finance Limited (02/03/2028) ,INE414G07JM5,CRISIL AA+,5000.0,5072.66,0.004,Axis Mutual Fund,AXISSTF,
7.83% Indian Railway Finance Corporation Limited (19/03/2027) ,INE053F07983,CRISIL AAA,500.0,5062.475,0.004,Axis Mutual Fund,AXISSTF,
7.34% Small Industries Dev Bank of India (26/02/2029) ,INE556F08KS8,CRISIL AAA,5000.0,5057.45,0.004,Axis Mutual Fund,AXISSTF,
7.9% LIC Housing Finance Limited (23/06/2027) ,INE115A07PV9,CRISIL AAA,500.0,5055.805,0.004,Axis Mutual Fund,AXISSTF,
7.59% REC Limited (31/05/2027) ,INE020B08FA2,CRISIL AAA,5000.0,5054.785,0.004,Axis Mutual Fund,AXISSTF,
7.60% Power Finance Corporation Limited (20/02/2027) ,INE134E08IT9,CRISIL AAA,500.0,5054.38,0.004,Axis Mutual Fund,AXISSTF,
7.71% REC Limited (26/02/2027) ,INE020B08EW9,CRISIL AAA,5000.0,5052.805,0.004,Axis Mutual Fund,AXISSTF,
7.43% National Bank For Financing Infrastructure And Development (16/06/2033) ,INE0KUG08019,CRISIL AAA,5000.0,5045.97,0.0039,Axis Mutual Fund,AXISSTF,
7.30% Power Finance Corporation Limited (07/08/2027) ,INE134E08JE9,CRISIL AAA,500.0,5041.62,0.0039,Axis Mutual Fund,AXISSTF,
7.18% Power Finance Corporation Limited (20/01/2027) ,INE134E08IR3,CRISIL AAA,500.0,5029.165,0.0039,Axis Mutual Fund,AXISSTF,
7.04% IndiGRID Infrastructure Trust (27/09/2028) ,INE219X07512,CRISIL AAA,5000.0,5003.86,0.0039,Axis Mutual Fund,AXISSTF,
7.10% Bajaj Housing Finance Limited (16/10/2028) ,INE377Y07607,CRISIL AAA,5000.0,4996.53,0.0039,Axis Mutual Fund,AXISSTF,
7.60% Poonawalla Fincorp Limited (28/05/2027) ,INE511C07870,CRISIL AAA,5000.0,4995.25,0.0039,Axis Mutual Fund,AXISSTF,
7.18% Sundaram Finance Limited (16/05/2028) ,INE660A07RX6,CRISIL AAA,5000.0,4994.855,0.0039,Axis Mutual Fund,AXISSTF,
6.90% LIC Housing Finance Limited (17/09/2027) ,INE115A07RH4,CRISIL AAA,5000.0,4984.665,0.0039,Axis Mutual Fund,AXISSTF,
7.08% Power Grid Corporation of India Limited (25/10/2034),INE752E08767,CRISIL AAA,5000.0,4978.975,0.0039,Axis Mutual Fund,AXISSTF,
6.47% Indian Railway Finance Corporation Limited (30/05/2028) ,INE053F08510,CRISIL AAA,5000.0,4959.55,0.0039,Axis Mutual Fund,AXISSTF,
6.64% Power Finance Corporation Limited (15/07/2030) ,INE134E08NR3,CRISIL AAA,5000.0,4924.32,0.0039,Axis Mutual Fund,AXISSTF,
7.98% Bajaj Housing Finance Limited (18/11/2027) ,INE377Y07383,CRISIL AAA,450.0,4569.2685,0.0036,Axis Mutual Fund,AXISSTF,
7.15% Sundaram Home Finance Limited (16/05/2028) ,INE667F07JB3,ICRA AAA,4500.0,4494.7935,0.0035,Axis Mutual Fund,AXISSTF,
7.39% Andhra Pradesh State Development Loans (03/04/2030),IN1020240017,Sovereign,3999500.0,4089.1328,0.0032,Axis Mutual Fund,AXISSTF,
8.75% Godrej Finance Limited (18/01/2027) ,INE02KN07022,CRISIL AA+,4000.0,4053.58,0.0032,Axis Mutual Fund,AXISSTF,
7.8% National Bank For Agriculture and Rural Development (15/03/2027) ,INE261F08EF5,ICRA AAA,4000.0,4042.82,0.0032,Axis Mutual Fund,AXISSTF,
6.92% DLF Cyber City Developers Limited (28/07/2028) ,INE186K07122,CRISIL AAA,4000.0,3990.704,0.0031,Axis Mutual Fund,AXISSTF,
8.30% Godrej Properties Limited (19/03/2027) ,INE484J08055,ICRA AA+,3500.0,3533.1695,0.0028,Axis Mutual Fund,AXISSTF,
7.4091% HDB Financial Services Limited (05/06/2028) ,INE756I07FG5,CRISIL AAA,3500.0,3506.5905,0.0027,Axis Mutual Fund,AXISSTF,
8.95% Muthoot Finance Limited (03/05/2027) ,INE414G07JD4,CRISIL AA+,3200.0,3244.5568,0.0025,Axis Mutual Fund,AXISSTF,
7.7% Andhra Pradesh State Development Loans (08/03/2029),IN1020220720,Sovereign,3000000.0,3094.002,0.0024,Axis Mutual Fund,AXISSTF,
7.68% Godrej Seeds & Genetics Limited (28/04/2028) ,INE316Z08048,CRISIL AA,3000.0,2987.799,0.0023,Axis Mutual Fund,AXISSTF,
7.44% Power Finance Corporation Limited (11/06/2027) ,INE134E08JC3,CRISIL AAA,270.0,2724.9156,0.0021,Axis Mutual Fund,AXISSTF,
8.35% Indian Railway Finance Corporation Limited (13/03/2029) ,INE053F07BC1,CRISIL AAA,250.0,2598.8675,0.002,Axis Mutual Fund,AXISSTF,
7.18% Government of India (14/08/2033),IN0020230085,Sovereign,2500000.0,2578.7925,0.002,Axis Mutual Fund,AXISSTF,
7.6% Andhra Pradesh State Development Loans (06/04/2029),IN1020230018,Sovereign,2500000.0,2572.385,0.002,Axis Mutual Fund,AXISSTF,
9.233% Shriram Finance Limited (18/05/2027) ,INE721A07RV0,CRISIL AA+,2500.0,2552.8375,0.002,Axis Mutual Fund,AXISSTF,
7.62% National Bank For Agriculture and Rural Development (10/05/2029) ,INE261F08EH1,CRISIL AAA,2500.0,2546.0375,0.002,Axis Mutual Fund,AXISSTF,
8.08% Kotak Mahindra Prime Limited (21/10/2027) ,INE916DA7SV2,CRISIL AAA,2500.0,2536.2875,0.002,Axis Mutual Fund,AXISSTF,
7.44% Power Finance Corporation Limited (15/01/2030) ,INE134E08NO0,CRISIL AAA,2500.0,2535.6375,0.002,Axis Mutual Fund,AXISSTF,
8.1% Bajaj Housing Finance Limited (08/07/2027),INE377Y07482,CRISIL AAA,2500.0,2534.8725,0.002,Axis Mutual Fund,AXISSTF,
7.68% Small Industries Dev Bank of India (10/09/2027) ,INE556F08KQ2,CRISIL AAA,2500.0,2533.6325,0.002,Axis Mutual Fund,AXISSTF,
7.90% Bajaj Finance Limited (13/04/2028),INE296A07SI8,CRISIL AAA,250.0,2532.0025,0.002,Axis Mutual Fund,AXISSTF,
7.45% Power Finance Corporation Limited (15/07/2028) ,INE134E08NP7,CRISIL AAA,2500.0,2531.3875,0.002,Axis Mutual Fund,AXISSTF,
7.34% REC Limited (30/04/2030) ,INE020B08FL9,CRISIL AAA,2500.0,2530.08,0.002,Axis Mutual Fund,AXISSTF,
7.75% LIC Housing Finance Limited (23/11/2027) ,INE115A07MQ6,CRISIL AAA,250.0,2529.415,0.002,Axis Mutual Fund,AXISSTF,
7.38% Power Finance Corporation Limited (15/01/2032),INE134E08NM4,CRISIL AAA,2500.0,2524.02,0.002,Axis Mutual Fund,AXISSTF,
7.77% Power Finance Corporation Limited (15/07/2026),INE134E08MC7,CRISIL AAA,2500.0,2514.0525,0.002,Axis Mutual Fund,AXISSTF,
7.70% REC Limited (31/08/2026) ,INE020B08FC8,ICRA AAA,2500.0,2513.6725,0.002,Axis Mutual Fund,AXISSTF,
7.35% Sundaram Finance Limited (23/04/2027) ,INE660A07RW8,CRISIL AAA,2500.0,2505.0625,0.002,Axis Mutual Fund,AXISSTF,
7.3763% Bajaj Finance Limited (26/06/2028),INE296A07TJ4,CRISIL AAA,2500.0,2504.1675,0.002,Axis Mutual Fund,AXISSTF,
7.2337% Bajaj Finance Limited (28/06/2027) ,INE296A07TK2,CRISIL AAA,2500.0,2498.5325,0.002,Axis Mutual Fund,AXISSTF,
7.12% Power Grid Corporation of India Limited (24/12/2034) ,INE752E08775,CRISIL AAA,2500.0,2497.1025,0.002,Axis Mutual Fund,AXISSTF,
6.54% Rajasthan State Development Loans (18/11/2030),IN2920200481,Sovereign,2500000.0,2474.5375,0.0019,Axis Mutual Fund,AXISSTF,
6.65% National Bank For Agriculture and Rural Development (25/05/2035) ,INE261F08CE2,ICRA AAA,250.0,2417.1075,0.0019,Axis Mutual Fund,AXISSTF,
7.44% Madhya Pradesh State Development Loans (03/12/2038),IN2120250260,Sovereign,2377800.0,2383.2309,0.0019,Axis Mutual Fund,AXISSTF,
8.9% Bharti Telecom Limited (05/11/2034) ,INE403D08215,CRISIL AAA,2000.0,2136.344,0.0017,Axis Mutual Fund,AXISSTF,
7.68% Small Industries Dev Bank of India (09/07/2027) ,INE556F08KO7,CRISIL AAA,2000.0,2025.268,0.0016,Axis Mutual Fund,AXISSTF,
7.54% Bihar State Development Loans (03/09/2033),IN1320250088,Sovereign,2000000.0,2022.82,0.0016,Axis Mutual Fund,AXISSTF,
6.58% Gujarat State Development Loans (31/03/2027),IN1520200347,Sovereign,2000000.0,2015.34,0.0016,Axis Mutual Fund,AXISSTF,
8.05% Muthoot Finance Limited (25/11/2027) ,INE414G07JQ6,CRISIL AA+,2000.0,2008.274,0.0016,Axis Mutual Fund,AXISSTF,
7.68% Godrej Seeds & Genetics Limited (28/01/2028) ,INE316Z08022,CRISIL AA,2000.0,1993.296,0.0016,Axis Mutual Fund,AXISSTF,
7.68% Godrej Seeds & Genetics Limited (27/10/2028) ,INE316Z08014,CRISIL AA,2000.0,1990.506,0.0016,Axis Mutual Fund,AXISSTF,
7.68% Godrej Seeds & Genetics Limited (28/07/2028) ,INE316Z08030,CRISIL AA,2000.0,1990.004,0.0016,Axis Mutual Fund,AXISSTF,
7.98% Bajaj Housing Finance Limited (09/09/2026) ,INE377Y07490,CRISIL AAA,1900.0,1911.2746,0.0015,Axis Mutual Fund,AXISSTF,
Government of India (05/08/2032),IN000832C039,Sovereign,2552400.0,1631.7953,0.0013,Axis Mutual Fund,AXISSTF,
Government of India (15/10/2032),IN001032C043,Sovereign,2518500.0,1587.1562,0.0012,Axis Mutual Fund,AXISSTF,
6.76% Government of India (22/08/2027),IN000827C021,Sovereign,1690000.0,1533.915,0.0012,Axis Mutual Fund,AXISSTF,
7.96% Embassy Office Parks REIT (27/09/2027) ,INE041007142,CRISIL AAA,1500.0,1520.9355,0.0012,Axis Mutual Fund,AXISSTF,
7.6% Kotak Mahindra Prime Limited (19/05/2028) ,INE916DA7SZ3,CRISIL AAA,1500.0,1510.4385,0.0012,Axis Mutual Fund,AXISSTF,
7.49% punjab State Development Loans (03/12/2035),IN2820250149,Sovereign,1500000.0,1501.254,0.0012,Axis Mutual Fund,AXISSTF,
6.09% Power Finance Corporation Limited (27/08/2026) ,INE134E08LK2,CRISIL AAA,150.0,1492.2975,0.0012,Axis Mutual Fund,AXISSTF,
Government of India (22/10/2028),IN001028C033,Sovereign,1541400.0,1300.564,0.001,Axis Mutual Fund,AXISSTF,
4.7% Government of India (22/09/2033),IN0020200120,Sovereign,1162000.0,1202.1076,0.0009,Axis Mutual Fund,AXISSTF,
5.85% REC Limited (20/12/2025) ,INE020B08DF6,CRISIL AAA,119.0,1190,0.0009,Axis Mutual Fund,AXISSTF,
7.54% Andhra Pradesh State Development Loans (11/01/2029),IN1020220613,Sovereign,1000000.0,1025.656,0.0008,Axis Mutual Fund,AXISSTF,
7.35% Export Import Bank of India (27/07/2028),INE514E08GE8,CRISIL AAA,1000.0,1014.8,0.0008,Axis Mutual Fund,AXISSTF,
8.30% Godrej Industries Limited (12/06/2026) ,INE233A08071,CRISIL AA+,1000.0,1004.316,0.0008,Axis Mutual Fund,AXISSTF,
Government of India (05/02/2027),IN000227C032,Sovereign,1063500.0,997.7417,0.0008,Axis Mutual Fund,AXISSTF,
Government of India (05/02/2028),IN000228C030,Sovereign,1063500.0,936.6361,0.0007,Axis Mutual Fund,AXISSTF,
9.20% Government of India (30/09/2030),IN0020130053,Sovereign,500000.0,557.097,0.0004,Axis Mutual Fund,AXISSTF,
8.22% National Bank For Agriculture and Rural Development (13/12/2028) ,INE261F08AV0,CRISIL AAA,50.0,518.8645,0.0004,Axis Mutual Fund,AXISSTF,
7.32% Government of India (13/11/2030),IN0020230135,Sovereign,500000.0,518.52,0.0004,Axis Mutual Fund,AXISSTF,
7.75% Gujarat State Development Loans (13/12/2027),IN1520170136,Sovereign,500000.0,513.9465,0.0004,Axis Mutual Fund,AXISSTF,
7.99% LIC Housing Finance Limited (12/07/2029) ,INE115A07OF5,CRISIL AAA,50.0,513.239,0.0004,Axis Mutual Fund,AXISSTF,
8.12% Kotak Mahindra Prime Limited (21/06/2027) ,INE916DA7SU4,CRISIL AAA,500.0,506.2605,0.0004,Axis Mutual Fund,AXISSTF,
7.7951% Bajaj Finance Limited (10/12/2027) ,INE296A07TF2,CRISIL AAA,500.0,505.0365,0.0004,Axis Mutual Fund,AXISSTF,
7.8350% LIC Housing Finance Limited (11/05/2027) ,INE115A07QO2,CRISIL AAA,500.0,504.7415,0.0004,Axis Mutual Fund,AXISSTF,
7.9237% Bajaj Housing Finance Limited (16/03/2026),INE377Y07375,CRISIL AAA,50.0,501.6,0.0004,Axis Mutual Fund,AXISSTF,
6.69% Tamilnadu State Development Loans (23/09/2030),IN3120200297,Sovereign,500000.0,499.3795,0.0004,Axis Mutual Fund,AXISSTF,
6.50% Tata Capital Housing Finance Limited (15/06/2026) ,INE033L07HF1,CRISIL AAA,50.0,498.7615,0.0004,Axis Mutual Fund,AXISSTF,
7.38% Government of India (20/06/2027),IN0020220037,Sovereign,484600.0,496.2256,0.0004,Axis Mutual Fund,AXISSTF,
7.04% Government of India (03/06/2029),IN0020240050,Sovereign,479400.0,495.0826,0.0004,Axis Mutual Fund,AXISSTF,
7.56% REC Limited (31/08/2027),INE020B08FF1,ICRA AAA,454.0,459.6718,0.0004,Axis Mutual Fund,AXISSTF,
7.59% Government of India (11/01/2026),IN0020150093,Sovereign,455600.0,456.1759,0.0004,Axis Mutual Fund,AXISSTF,
6.67% Government of India (15/12/2035),IN0020210152,Sovereign,452300.0,451.6225,0.0004,Axis Mutual Fund,AXISSTF,
6.64% Government of India (16/06/2035),IN0020210020,Sovereign,410900.0,409.4631,0.0003,Axis Mutual Fund,AXISSTF,
8.5% Cholamandalam Investment and Finance Company Ltd (30/01/2027),INE121A07RT7,ICRA AA+,39254.0,396.8548,0.0003,Axis Mutual Fund,AXISSTF,
7.37% Government of India (23/10/2028),IN0020230101,Sovereign,359600.0,374.0103,0.0003,Axis Mutual Fund,AXISSTF,
7.17% Government of India (17/04/2030),IN0020230036,Sovereign,339100.0,350.0767,0.0003,Axis Mutual Fund,AXISSTF,
6.75% Government of India (23/12/2029),IN0020240183,Sovereign,333600.0,340.4064,0.0003,Axis Mutual Fund,AXISSTF,
6.33% Government of India (05/05/2035),IN0020250026,Sovereign,323500.0,317.1853,0.0002,Axis Mutual Fund,AXISSTF,
7.34% Government of India (22/04/2064),IN0020240035,Sovereign,297600.0,295.6942,0.0002,Axis Mutual Fund,AXISSTF,
7.3% Government of India (19/06/2053),IN0020230051,Sovereign,251700.0,251.6781,0.0002,Axis Mutual Fund,AXISSTF,
7.17% West Bangal State Development Loans (02/03/2032),IN3420210269,Sovereign,244400.0,244.0395,0.0002,Axis Mutual Fund,AXISSTF,
6.79% Government of India (15/05/2027),IN0020170026,Sovereign,240400.0,243.9,0.0002,Axis Mutual Fund,AXISSTF,
8.15% Government of India (24/11/2026),IN0020140060,Sovereign,210000.0,214.8403,0.0002,Axis Mutual Fund,AXISSTF,
