Name of the Instrument,ISIN,Industry / Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",YTM~,YTC^,AMC Name,Scheme Name,Rating,Industry,ESG Score $,Core ESG Score,Link to BRSR
8.08% Kotak Mahindra Prime Limited (21/10/2027) **,INE916DA7SV2,,2500.0,2537.5925,0.002,0.07135,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.44% Power Finance Corporation Limited (15/01/2030) **,INE134E08NO0,,2500.0,2537.23,0.002,0.07,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
8.1% Bajaj Housing Finance Limited (08/07/2027) **,INE377Y07482,,2500.0,2536.655,0.002,0.069975,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.75% LIC Housing Finance Limited (23/11/2027) **,INE115A07MQ6,,250.0,2532.41,0.002,0.06981,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.68% Small Industries Dev Bank of India (10/09/2027) **,INE556F08KQ2,,2500.0,2532.2825,0.002,0.068287,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.45% Power Finance Corporation Limited (15/07/2028) **,INE134E08NP7,,2500.0,2531.9875,0.002,0.06885,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.90% Bajaj Finance Limited (13/04/2028) **,INE296A07SI8,,250.0,2531.14,0.002,0.0726,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.38% Power Finance Corporation Limited (15/01/2032) **,INE134E08NM4,,2500.0,2529.445,0.002,0.0713,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.34% REC Limited (30/04/2030) **,INE020B08FL9,,2500.0,2528.9875,0.002,0.07005,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.77% Power Finance Corporation Limited (15/07/2026) **,INE134E08MC7,,2500.0,2513.39,0.002,0.06745,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.70% REC Limited (31/08/2026),INE020B08FC8,,2500.0,2511.475,0.002,0.068,,Axis Mutual Fund,AXISSTF,ICRA AAA,,,,
7.35% Sundaram Finance Limited (23/04/2027) **,INE660A07RW8,,2500.0,2506.2025,0.002,0.071,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.3763% Bajaj Finance Limited (26/06/2028) **,INE296A07TJ4,,2500.0,2503.605,0.002,0.0726,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.12% Power Grid Corporation of India Limited (24/12/2034) **,INE752E08775,,2500.0,2502.035,0.002,0.0711,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.2337% Bajaj Finance Limited (28/06/2027) **,INE296A07TK2,,2500.0,2501.3325,0.002,0.0712,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
6.09% Power Finance Corporation Limited (27/08/2026) **,INE134E08LK2,,250.0,2487.54,0.002,0.06745,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
6.54% Rajasthan State Development Loans (18/11/2030),IN2920200481,,2500000.0,2459.445,0.0019,0.070554,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
6.65% National Bank For Agriculture and Rural Development (25/05/2035) **,INE261F08CE2,,250.0,2426.0575,0.0019,0.0721,,Axis Mutual Fund,AXISSTF,ICRA AAA,,,,
7.44% Madhya Pradesh State Development Loans (03/12/2038),IN2120250260,,2377800.0,2367.7443,0.0019,0.076309,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
8.9% Bharti Telecom Limited (05/11/2034) **,INE403D08215,,2000.0,2144.306,0.0017,0.0774,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.68% Small Industries Dev Bank of India (09/07/2027) **,INE556F08KO7,,2000.0,2024.366,0.0016,0.068287,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
6.58% Gujarat State Development Loans (31/03/2027),IN1520200347,,2000000.0,2014.096,0.0016,0.060643,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
8.05% Muthoot Finance Limited (25/11/2027),INE414G07JQ6,,2000.0,2013.582,0.0016,0.076367,,Axis Mutual Fund,AXISSTF,CRISIL AA+,,,,
7.54% Bihar State Development Loans (03/09/2033),IN1320250088,,2000000.0,2009.458,0.0016,0.075942,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.68% Godrej Seeds & Genetics Limited (28/01/2028) **,INE316Z08022,,2000.0,1993.912,0.0016,0.0784,,Axis Mutual Fund,AXISSTF,CRISIL AA,,,,
7.68% Godrej Seeds & Genetics Limited (27/10/2028) **,INE316Z08014,,2000.0,1991.05,0.0016,0.078517,,Axis Mutual Fund,AXISSTF,CRISIL AA,,,,
7.68% Godrej Seeds & Genetics Limited (28/07/2028) **,INE316Z08030,,2000.0,1990.516,0.0016,0.0786,,Axis Mutual Fund,AXISSTF,CRISIL AA,,,,
7.98% Bajaj Housing Finance Limited (09/09/2026) **,INE377Y07490,,1900.0,1912.4754,0.0015,0.068107,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
Government of India (05/08/2032),IN000832C039,,2552400.0,1641.7369,0.0013,0.069215,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
Government of India (15/10/2032),IN001032C043,,2518500.0,1597.2352,0.0013,0.069386,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
6.76% Government of India (22/08/2027),IN000827C021,,1690000.0,1539.2537,0.0012,0.058564,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.96% Embassy Office Parks REIT (27/09/2027) **,INE041007142,,1500.0,1521.2925,0.0012,0.072748,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.6% Kotak Mahindra Prime Limited (19/05/2028) **,INE916DA7SZ3,,1500.0,1510.644,0.0012,0.07235,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
Government of India (22/10/2028),IN001028C033,,1541400.0,1301.6861,0.001,0.062054,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
4.7% Government of India (22/09/2033),IN0020200120,,1162000.0,1199.8033,0.0009,,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.54% Andhra Pradesh State Development Loans (11/01/2029),IN1020220613,,1000000.0,1024.702,0.0008,0.067348,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.35% Export Import Bank of India (27/07/2028),INE514E08GE8,,1000.0,1013.64,0.0008,0.067689,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
8.30% Godrej Industries Limited (12/06/2026) **,INE233A08071,,1000.0,1004.328,0.0008,0.07275,,Axis Mutual Fund,AXISSTF,CRISIL AA+,,,,
Government of India (05/02/2027),IN000227C032,,1063500.0,999.5294,0.0008,0.058325,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
Government of India (05/02/2028),IN000228C030,,1063500.0,937.4455,0.0007,0.062106,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
9.20% Government of India (30/09/2030),IN0020130053,,500000.0,557.85,0.0004,0.064358,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.32% Government of India (13/11/2030),IN0020230135,,500000.0,519.2365,0.0004,0.06487,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
8.22% National Bank For Agriculture and Rural Development (13/12/2028) **,INE261F08AV0,,50.0,518.706,0.0004,0.069112,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.75% Gujarat State Development Loans (13/12/2027),IN1520170136,,500000.0,514.5125,0.0004,0.062394,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.99% LIC Housing Finance Limited (12/07/2029) **,INE115A07OF5,,50.0,512.1205,0.0004,0.07165,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
8.32% Torrent Power Limited (28/02/2028) **,INE813H07374,,500.0,508.336,0.0004,0.07435,,Axis Mutual Fund,AXISSTF,CRISIL AA+,,,,
8.12% Kotak Mahindra Prime Limited (21/06/2027) **,INE916DA7SU4,,500.0,506.5705,0.0004,0.07095,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.7951% Bajaj Finance Limited (10/12/2027) **,INE296A07TF2,,500.0,505.492,0.0004,0.0716,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.8350% LIC Housing Finance Limited (11/05/2027) **,INE115A07QO2,,500.0,505.306,0.0004,0.0694,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.9237% Bajaj Housing Finance Limited (16/03/2026) **,INE377Y07375,,50.0,501.483,0.0004,0.060602,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
6.50% Tata Capital Housing Finance Limited (15/06/2026) **,INE033L07HF1,,50.0,498.9815,0.0004,0.067249,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
6.69% Tamilnadu State Development Loans (23/09/2030),IN3120200297,,500000.0,496.845,0.0004,0.069621,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.38% Government of India (20/06/2027),IN0020220037,,484600.0,496.1126,0.0004,0.057505,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.04% Government of India (03/06/2029),IN0020240050,,479400.0,494.039,0.0004,0.061279,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.56% REC Limited (31/08/2027) **,INE020B08FF1,,454.0,459.0426,0.0004,0.06795,,Axis Mutual Fund,AXISSTF,ICRA AAA,,,,
7.59% Government of India (11/01/2026),IN0020150093,,455600.0,455.8765,0.0004,0.052865,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
6.67% Government of India (15/12/2035),IN0020210152,,452300.0,451.3963,0.0004,0.068093,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
6.64% Government of India (16/06/2035),IN0020210020,,410900.0,409.7499,0.0003,0.067913,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
8.5% Cholamandalam Investment and Finance Company Ltd (30/01/2027) **,INE121A07RT7,,39254.0,397.2693,0.0003,0.072775,,Axis Mutual Fund,AXISSTF,ICRA AA+,,,,
7.37% Government of India (23/10/2028),IN0020230101,,359600.0,373.893,0.0003,0.058967,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.17% Government of India (17/04/2030),IN0020230036,,339100.0,349.7471,0.0003,0.0642,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
6.75% Government of India (23/12/2029),IN0020240183,,333600.0,340.2053,0.0003,0.062758,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.34% Government of India (22/04/2064),IN0020240035,,297600.0,296.7048,0.0002,0.074979,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.3% Government of India (19/06/2053),IN0020230051,,251700.0,252.1453,0.0002,0.074174,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
6.79% Government of India (15/05/2027),IN0020170026,,240400.0,243.7976,0.0002,0.057789,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.17% West Bangal State Development Loans (02/03/2032),IN3420210269,,244400.0,243.4757,0.0002,0.073754,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
8.15% Government of India (24/11/2026),IN0020140060,,210000.0,214.6095,0.0002,0.056752,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.26% Government of India (14/01/2029),IN0020180454,,200000.0,207.5492,0.0002,0.059695,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.52% Uttar Pradesh State Development Loans (24/05/2027),IN3320170043,,200000.0,203.7784,0.0002,0.061748,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.53% Haryana State Development Loans (24/05/2027),IN1620170010,,200000.0,203.604,0.0002,0.062521,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
6.1% Government of India (12/07/2031),IN0020210095,,200000.0,196.8112,0.0002,0.065506,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.26% Government of India (06/02/2033),IN0020220151,,150000.0,155.2985,0.0001,0.067362,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.1% Government of India (08/04/2034),IN0020240019,,125200.0,128.7827,0.0001,0.067527,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
6.79% Government of India (07/10/2034),IN0020240126,,126700.0,127.8356,0.0001,0.067619,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
6.92% Government of India (18/11/2039),IN0020240134,,127200.0,127.256,0.0001,0.070333,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.64% Food Corporation Of India (12/12/2029) **,INE861G08050,,10.0,101.959,0.0001,0.0705,,Axis Mutual Fund,AXISSTF,CRISIL AAA(CE),,,,
6.79% Government of India (26/12/2029),IN0020160118,,68700.0,70.0535,0.0001,0.063207,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.90% Bajaj Housing Finance Limited (28/04/2028) **,INE377Y07417,,5.0,50.8258,$0.00%,0.07075,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
7.23% Tamilnadu State Development Loans (14/06/2027),IN3120170045,,50000.0,50.7982,$0.00%,0.061542,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
8.3774% HDB Financial Services Limited (24/04/2026) **,INE756I07ER5,,50.0,50.1627,$0.00%,0.06905,,Axis Mutual Fund,AXISSTF,CRISIL AAA,,,,
8.60% Government of India (02/06/2028),IN0020140011,,35000.0,37.1501,$0.00%,0.059221,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.18% Government of India (24/07/2037),IN0020230077,,31100.0,31.8744,$0.00%,0.069815,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.59% Government of India (20/03/2029),IN0020150069,,20800.0,21.7672,$0.00%,0.060654,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.16% Rajasthan State Development Loans (16/10/2029),IN2920190237,,17200.0,17.4356,$0.00%,0.068538,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
8.97% Government of India (05/12/2030),IN0020110055,,9000.0,9.9794,$0.00%,0.06462,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.45% Bihar State Development Loans (10/09/2034),IN1320250104,,7600.0,7.5801,$0.00%,0.076292,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
5.79% Government of India (11/05/2030),IN0020200070,,6600.0,6.4614,$0.00%,0.064471,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
7.88% Government of India (19/03/2030),IN0020150028,,200.0,0.2116,$0.00%,0.063819,,Axis Mutual Fund,AXISSTF,Sovereign,,,,
Sub Total,,,,1047266.6063,0.8241,,,Axis Mutual Fund,AXISSTF,,,,,
(b) Privately placed / Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXISSTF,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISSTF,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,NIL,NIL,,,Axis Mutual Fund,AXISSTF,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISSTF,,,,,
(b) Privately placed / Unlisted,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
7.7954% Reliance Life Sciences Private Limited (05/11/2027) ** #,INE11LM07031,,750.0,7568.7075,0.006,0.075096,,Axis Mutual Fund,AXISSTF,CARE AAA,,,,
Sub Total,,,,7568.7075,0.006,,,Axis Mutual Fund,AXISSTF,,,,,
(c) Securitised Debt,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
Siddhivinayak Securitisation Trust (28/09/2030) **,INE2I7F15012,,213.0,21397.1056,0.0168,0.074648,,Axis Mutual Fund,AXISSTF,CRISIL AAA(SO),,,,
Shivshakti Securitisation Trust (28/09/2029) **,INE2I7G15010,,118.0,11839.8193,0.0093,0.073398,,Axis Mutual Fund,AXISSTF,CRISIL AAA(SO),,,,
India Universal Trust (20/09/2030) **,INE16J715035,,128.0,11807.7632,0.0093,0.079599,,Axis Mutual Fund,AXISSTF,IND AAA(SO),,,,
Radhakrishna Securitisation Trust (28/09/2028) **,INE2I7H15018,,74.0,7392.503,0.0058,0.073098,,Axis Mutual Fund,AXISSTF,CRISIL AAA(SO),,,,
Sansar Trust (25/04/2031) **,INE1WMT15017,,500000000.0,5005.5,0.0039,0.0875,,Axis Mutual Fund,AXISSTF,CRISIL AAA(SO),,,,
India Universal Trust (21/11/2030) **,INE1CBK15037,,51.0,4883.047,0.0038,0.079749,,Axis Mutual Fund,AXISSTF,CRISIL AAA(SO),,,,
Sansar Trust (25/06/2030) **,INE0YWN15017,,1000000000.0,3776,0.003,0.085575,,Axis Mutual Fund,AXISSTF,CRISIL AAA(SO),,,,
India Universal Trust (21/11/2027) **,INE1CBK15029,,48.0,3578.3191,0.0028,0.07755,,Axis Mutual Fund,AXISSTF,CRISIL AAA(SO),,,,
India Universal Trust (20/07/2027) **,INE16J715027,,34.0,2799.9002,0.0022,0.07615,,Axis Mutual Fund,AXISSTF,IND AAA(SO),,,,
Sansar Trust (17/03/2028) **,INE0RVR15014,,450000000.0,1452.15,0.0011,0.085525,,Axis Mutual Fund,AXISSTF,CRISIL AAA(SO),,,,
India Universal Trust (20/09/2026) **,INE16J715019,,12.0,303.3391,0.0002,0.07435,,Axis Mutual Fund,AXISSTF,IND AAA(SO),,,,
Sub Total,,,,74235.4464,0.0584,,,Axis Mutual Fund,AXISSTF,,,,,
Total,,,,1129070.7603,0.8885,,,Axis Mutual Fund,AXISSTF,,,,,
Money Market Instruments,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
Certificate of Deposit,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
Punjab National Bank (15/12/2026) **,INE160A16TZ9,,3000.0,14110.725,0.0111,0.0661,,Axis Mutual Fund,AXISSTF,CRISIL A1+,,,,
HDFC Bank Limited (13/11/2026) **,INE040A16HW5,,2000.0,9458.71,0.0074,0.0661,,Axis Mutual Fund,AXISSTF,CARE A1+,,,,
Small Industries Dev Bank of India (04/12/2026) **,INE556F16BS0,,2000.0,9419.07,0.0074,0.0668,,Axis Mutual Fund,AXISSTF,CARE A1+,,,,
Small Industries Dev Bank of India (16/12/2026) **,INE556F16BT8,,2000.0,9399.63,0.0074,0.0668,,Axis Mutual Fund,AXISSTF,CARE A1+,,,,
HDFC Bank Limited (21/12/2026),INE040A16II2,,2000.0,9397.54,0.0074,0.0661,,Axis Mutual Fund,AXISSTF,CARE A1+,,,,
Canara Bank (18/03/2026),INE476A16B64,,1500.0,7407.6975,0.0058,0.059842,,Axis Mutual Fund,AXISSTF,CRISIL A1+,,,,
Small Industries Dev Bank of India (27/10/2026) **,INE556F16BN1,,1000.0,4740.59,0.0037,0.0668,,Axis Mutual Fund,AXISSTF,CARE A1+,,,,
Canara Bank (20/02/2026) **,INE476A16A57,,500.0,2479.8725,0.002,0.059249,,Axis Mutual Fund,AXISSTF,CRISIL A1+,,,,
HDFC Bank Limited (17/03/2026),INE040A16IB7,,500.0,2470.18,0.0019,0.05875,,Axis Mutual Fund,AXISSTF,CARE A1+,,,,
HDFC Bank Limited (18/03/2026),INE040A16IC5,,500.0,2469.7875,0.0019,0.05875,,Axis Mutual Fund,AXISSTF,CARE A1+,,,,
Export Import Bank of India (20/03/2026),INE514E16CK7,,500.0,2468.82,0.0019,0.0591,,Axis Mutual Fund,AXISSTF,CRISIL A1+,,,,
Small Industries Dev Bank of India (27/02/2026),INE556F16BB6,,200.0,990.717,0.0008,0.060001,,Axis Mutual Fund,AXISSTF,CARE A1+,,,,
HDFC Bank Limited (24/03/2026),INE040A16GS5,,200.0,986.897,0.0008,0.059099,,Axis Mutual Fund,AXISSTF,CRISIL A1+,,,,
Sub Total,,,,75800.2365,0.0596,,,Axis Mutual Fund,AXISSTF,,,,,
Commercial Paper,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
Small Industries Dev Bank of India (06/03/2026) **,INE556F14LU0,,1000.0,4947.99,0.0039,0.05995,,Axis Mutual Fund,AXISSTF,CRISIL A1+,,,,
Sub Total,,,,4947.99,0.0039,,,Axis Mutual Fund,AXISSTF,,,,,
Total,,,,80748.2265,0.0635,,,Axis Mutual Fund,AXISSTF,,,,,
Others,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
Alternative Investment Fund Units,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,27480.142,3174.9985,0.0025,,,Axis Mutual Fund,AXISSTF,,,,,
Sub Total,,,,3174.9985,0.0025,,,Axis Mutual Fund,AXISSTF,,,,,
Total,,,,3174.9985,0.0025,,,Axis Mutual Fund,AXISSTF,,,,,
Reverse Repo / TREPS,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
Clearing Corporation of India Ltd,,,,22453.83,0.0177,0.05287020563881418,,Axis Mutual Fund,AXISSTF,,,,,
Sub Total,,,,22453.83,0.0177,,,Axis Mutual Fund,AXISSTF,,,,,
Total,,,,22453.83,0.0177,,,Axis Mutual Fund,AXISSTF,,,,,
Net Receivables / (Payables),,,,35351.3647,0.0278,,,Axis Mutual Fund,AXISSTF,,,,,
GRAND TOTAL,,,,1270793.08,1,,,Axis Mutual Fund,AXISSTF,,,,,
,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
#Unlisted Security,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
"FRN - Floating Rate Note , ZCB - Zero Coupon Bond",,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
**  Thinly Traded / Non Traded Security,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
$  Less Than 0.01% of Net Asset Value ,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
"~ YTM as on December 31, 2025",,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
"^ YTC represents Yield to Call provided by valuation agencies as on December 31, 2025. It is disclosed for Perpetual Bond issued by Banks (i.e. AT-1 Bond / Tier 1 Bond / Tier 2 Bond), as per AMFI Best Practices Guidelines Circular no. 135/BP/91/2020-21 read with SEBI circular No. SEBI/HO/IMD/DF4/CIR/P/2021/034 on Valuation of AT-1 Bonds and Tier 2 Bonds.",,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
"Aggregate Investments by other schemes (At NAV)  as on December 31, 2025 RS 14519.96 Lakh's",,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
,,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
,Benchmark Name - NIFTY SHORT DURATION DEBT INDEX A-II,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,,,Axis Mutual Fund,AXISSTF,,,,,
Derivatives,,,,,,,,Axis Mutual Fund,AXISTAA,,,,,
Interest Rate Swaps,,,,,,,,Axis Mutual Fund,AXISTAA,,,,,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (16/09/2027) (FV 2500 Lacs),,,,1.985,$0.00%,,,Axis Mutual Fund,AXISTAA,,,,,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (17/12/2026) (FV 15000 Lacs),,,,-1.59,$0.00%,,,Axis Mutual Fund,AXISTAA,,,,,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (19/12/2026) (FV 10000 Lacs),,,,-2.86,$0.00%,,,Axis Mutual Fund,AXISTAA,,,,,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (14/07/2027) (FV 5000 Lacs),,,,-3.665,$0.00%,,,Axis Mutual Fund,AXISTAA,,,,,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (19/03/2026) (FV 5000 Lacs),,,,-5.475,$0.00%,,,Axis Mutual Fund,AXISTAA,,,,,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (07/03/2026) (FV 5000 Lacs),,,,-5.515,$0.00%,,,Axis Mutual Fund,AXISTAA,,,,,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (06/03/2026) (FV 5000 Lacs),,,,-5.59,$0.00%,,,Axis Mutual Fund,AXISTAA,,,,,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (04/04/2027) (FV 2500 Lacs),,,,-10.5025,$0.00%,,,Axis Mutual Fund,AXISTAA,,,,,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (20/03/2026) (FV 10000 Lacs),,,,-10.71,$0.00%,,,Axis Mutual Fund,AXISTAA,,,,,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (10/03/2027) (FV 2500 Lacs),,,,-15.24,$0.00%,,,Axis Mutual Fund,AXISTAA,,,,,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (07/02/2027) (FV 2500 Lacs),,,,-17.48,$0.00%,,,Axis Mutual Fund,AXISTAA,,,,,
Sub Total,,,,-76.6425,-0.0001,,,Axis Mutual Fund,AXISTAA,,,,,
Total,,,,-76.6425,-0.0001,,,Axis Mutual Fund,AXISTAA,,,,,
Debt Instruments,,,,,,,,Axis Mutual Fund,AXISTAA,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,,,,,Axis Mutual Fund,AXISTAA,,,,,
7.43% Small Industries Dev Bank of India (31/08/2026) **,INE556F08KH1,,23000.0,23075.532,0.0386,0.067438,,Axis Mutual Fund,AXISTAA,CRISIL AAA,,,,
7.50% National Bank For Agriculture and Rural Development (31/08/2026) **,INE261F08EA6,,21500.0,21579.0555,0.0361,0.0675,,Axis Mutual Fund,AXISTAA,CRISIL AAA,,,,
4.04% Government of India (04/10/2028),IN0020210160,,17425000.0,17564.4,0.0294,,,Axis Mutual Fund,AXISTAA,Sovereign,,,,
7.55% Poonawalla Fincorp Limited (25/03/2027) **,INE511C07946,,14050.0,14051.6158,0.0235,0.075581,,Axis Mutual Fund,AXISTAA,CRISIL AAA,,,,
8.75% Motilal Oswal Finvest Limited (29/10/2027) **,INE01WN07136,,12500.0,12592.9,0.0211,0.08265,,Axis Mutual Fund,AXISTAA,ICRA AA+,,,,
9% Piramal Finance Limited (28/06/2027) **,INE202B07JT0,,12500.0,12563.175,0.021,0.08575,,Axis Mutual Fund,AXISTAA,CARE AA,,,,
7.74% LIC Housing Finance Limited (22/10/2027),INE115A07QZ8,,10000.0,10120.48,0.0169,0.06982,,Axis Mutual Fund,AXISTAA,CRISIL AAA,,,,
7.59% REC Limited (31/05/2027) **,INE020B08FA2,,10000.0,10098.92,0.0169,0.06785,,Axis Mutual Fund,AXISTAA,CRISIL AAA,,,,
7.60% Poonawalla Fincorp Limited (28/05/2027) **,INE511C07870,,10000.0,9996.12,0.0167,0.075782,,Axis Mutual Fund,AXISTAA,CRISIL AAA,,,,
7.70% REC Limited (31/08/2026),INE020B08FC8,,9500.0,9543.605,0.016,0.068,,Axis Mutual Fund,AXISTAA,ICRA AAA,,,,
7.44% Small Industries Dev Bank of India (04/09/2026) **,INE556F08KI9,,9460.0,9492.4856,0.0159,0.067437,,Axis Mutual Fund,AXISTAA,CRISIL AAA,,,,
7.53% National Bank For Agriculture and Rural Development (24/03/2028),INE261F08EM1,,9000.0,9119.727,0.0153,0.068433,,Axis Mutual Fund,AXISTAA,ICRA AAA,,,,
7.86% Karnataka State Development Loans (15/03/2027),IN1920160117,,8500000.0,8681.5515,0.0145,0.060746,,Axis Mutual Fund,AXISTAA,Sovereign,,,,
7.70% National Bank For Agriculture and Rural Development (30/09/2027) **,INE261F08EI9,,8500.0,8614.5205,0.0144,0.06825,,Axis Mutual Fund,AXISTAA,ICRA AAA,,,,
JTPM Metal Traders Limited (29/09/2028) (ZCB) **,INE02PE08036,,7500.0,7737.015,0.0129,0.081,,Axis Mutual Fund,AXISTAA,CRISIL AA,,,,
