Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating
7.68% Small Industries Dev Bank of India (10/09/2027) ,INE556F08KQ2,CRISIL AAA,2500.0,2533.47,0.002,Axis Mutual Fund,AXISSTF,
7.90% Bajaj Finance Limited (13/04/2028),INE296A07SI8,CRISIL AAA,250.0,2533.3525,0.002,Axis Mutual Fund,AXISSTF,
7.75% LIC Housing Finance Limited (23/11/2027) ,INE115A07MQ6,CRISIL AAA,250.0,2532.7475,0.002,Axis Mutual Fund,AXISSTF,
7.45% Power Finance Corporation Limited (15/07/2028) ,INE134E08NP7,CRISIL AAA,2500.0,2531.13,0.002,Axis Mutual Fund,AXISSTF,
7.34% REC Limited (30/04/2030) ,INE020B08FL9,CRISIL AAA,2500.0,2523.9975,0.002,Axis Mutual Fund,AXISSTF,
7.38% Power Finance Corporation Limited (15/01/2032),INE134E08NM4,CRISIL AAA,2500.0,2523.42,0.002,Axis Mutual Fund,AXISSTF,
7.77% Power Finance Corporation Limited (15/07/2026),INE134E08MC7,CRISIL AAA,2500.0,2513.14,0.002,Axis Mutual Fund,AXISSTF,
7.70% REC Limited (31/08/2026) ,INE020B08FC8,ICRA AAA,2500.0,2512.3175,0.002,Axis Mutual Fund,AXISSTF,
7.35% Sundaram Finance Limited (23/04/2027) ,INE660A07RW8,CRISIL AAA,2500.0,2506.7075,0.002,Axis Mutual Fund,AXISSTF,
7.3763% Bajaj Finance Limited (26/06/2028),INE296A07TJ4,CRISIL AAA,2500.0,2505.835,0.002,Axis Mutual Fund,AXISSTF,
7.12% Power Grid Corporation of India Limited (24/12/2034) ,INE752E08775,CRISIL AAA,2500.0,2505.3575,0.002,Axis Mutual Fund,AXISSTF,
7.2337% Bajaj Finance Limited (28/06/2027) ,INE296A07TK2,CRISIL AAA,2500.0,2502.7325,0.002,Axis Mutual Fund,AXISSTF,
6.09% Power Finance Corporation Limited (27/08/2026) ,INE134E08LK2,CRISIL AAA,250.0,2486.7325,0.002,Axis Mutual Fund,AXISSTF,
6.54% Rajasthan State Development Loans (18/11/2030),IN2920200481,Sovereign,2500000.0,2453.9675,0.0019,Axis Mutual Fund,AXISSTF,
6.65% National Bank For Agriculture and Rural Development (25/05/2035) ,INE261F08CE2,ICRA AAA,250.0,2420.39,0.0019,Axis Mutual Fund,AXISSTF,
7.44% Madhya Pradesh State Development Loans (03/12/2038),IN2120250260,Sovereign,2377800.0,2380.3656,0.0019,Axis Mutual Fund,AXISSTF,
8.9% Bharti Telecom Limited (05/11/2034) ,INE403D08215,CRISIL AAA,2000.0,2143.874,0.0017,Axis Mutual Fund,AXISSTF,
7.68% Small Industries Dev Bank of India (09/07/2027) ,INE556F08KO7,CRISIL AAA,2000.0,2025.19,0.0016,Axis Mutual Fund,AXISSTF,
6.58% Gujarat State Development Loans (31/03/2027),IN1520200347,Sovereign,2000000.0,2014.7,0.0016,Axis Mutual Fund,AXISSTF,
8.05% Muthoot Finance Limited (25/11/2027) ,INE414G07JQ6,CRISIL AA+,2000.0,2013.194,0.0016,Axis Mutual Fund,AXISSTF,
7.54% Bihar State Development Loans (03/09/2033),IN1320250088,Sovereign,2000000.0,2007.298,0.0016,Axis Mutual Fund,AXISSTF,
7.68% Godrej Seeds & Genetics Limited (28/01/2028) ,INE316Z08022,CRISIL AA,2000.0,1993.888,0.0016,Axis Mutual Fund,AXISSTF,
7.68% Godrej Seeds & Genetics Limited (27/10/2028) ,INE316Z08014,CRISIL AA,2000.0,1990.782,0.0016,Axis Mutual Fund,AXISSTF,
7.68% Godrej Seeds & Genetics Limited (28/07/2028) ,INE316Z08030,CRISIL AA,2000.0,1990.264,0.0016,Axis Mutual Fund,AXISSTF,
7.98% Bajaj Housing Finance Limited (09/09/2026) ,INE377Y07490,CRISIL AAA,1900.0,1912.0213,0.0015,Axis Mutual Fund,AXISSTF,
Government of India (05/08/2032),IN000832C039,Sovereign,2552400.0,1642.1682,0.0013,Axis Mutual Fund,AXISSTF,
Government of India (15/10/2032),IN001032C043,Sovereign,2518500.0,1598.1645,0.0013,Axis Mutual Fund,AXISSTF,
6.76% Government of India (22/08/2027),IN000827C021,Sovereign,1690000.0,1537.7226,0.0012,Axis Mutual Fund,AXISSTF,
7.96% Embassy Office Parks REIT (27/09/2027) ,INE041007142,CRISIL AAA,1500.0,1521.6765,0.0012,Axis Mutual Fund,AXISSTF,
7.6% Kotak Mahindra Prime Limited (19/05/2028) ,INE916DA7SZ3,CRISIL AAA,1500.0,1511.982,0.0012,Axis Mutual Fund,AXISSTF,
Government of India (22/10/2028),IN001028C033,Sovereign,1541400.0,1300.5855,0.001,Axis Mutual Fund,AXISSTF,
4.7% Government of India (22/09/2033),IN0020200120,Sovereign,1162000.0,1201.5626,0.0009,Axis Mutual Fund,AXISSTF,
7.54% Andhra Pradesh State Development Loans (11/01/2029),IN1020220613,Sovereign,1000000.0,1026.01,0.0008,Axis Mutual Fund,AXISSTF,
7.35% Export Import Bank of India (27/07/2028),INE514E08GE8,CRISIL AAA,1000.0,1014.231,0.0008,Axis Mutual Fund,AXISSTF,
8.30% Godrej Industries Limited (12/06/2026) ,INE233A08071,CRISIL AA+,1000.0,1004.503,0.0008,Axis Mutual Fund,AXISSTF,
Government of India (05/02/2027),IN000227C032,Sovereign,1063500.0,998.7584,0.0008,Axis Mutual Fund,AXISSTF,
7.49% punjab State Development Loans (03/12/2035),IN2820250149,Sovereign,1000000.0,995.811,0.0008,Axis Mutual Fund,AXISSTF,
Government of India (05/02/2028),IN000228C030,Sovereign,1063500.0,936.7351,0.0007,Axis Mutual Fund,AXISSTF,
9.20% Government of India (30/09/2030),IN0020130053,Sovereign,500000.0,557.6715,0.0004,Axis Mutual Fund,AXISSTF,
7.32% Government of India (13/11/2030),IN0020230135,Sovereign,500000.0,519.6285,0.0004,Axis Mutual Fund,AXISSTF,
8.22% National Bank For Agriculture and Rural Development (13/12/2028) ,INE261F08AV0,CRISIL AAA,50.0,518.6775,0.0004,Axis Mutual Fund,AXISSTF,
7.75% Gujarat State Development Loans (13/12/2027),IN1520170136,Sovereign,500000.0,513.947,0.0004,Axis Mutual Fund,AXISSTF,
7.99% LIC Housing Finance Limited (12/07/2029) ,INE115A07OF5,CRISIL AAA,50.0,513.404,0.0004,Axis Mutual Fund,AXISSTF,
8.32% Torrent Power Limited (28/02/2028) ,INE813H07374,CRISIL AA+,500.0,508.3725,0.0004,Axis Mutual Fund,AXISSTF,
8.12% Kotak Mahindra Prime Limited (21/06/2027) ,INE916DA7SU4,CRISIL AAA,500.0,506.388,0.0004,Axis Mutual Fund,AXISSTF,
7.7951% Bajaj Finance Limited (10/12/2027) ,INE296A07TF2,CRISIL AAA,500.0,505.5895,0.0004,Axis Mutual Fund,AXISSTF,
7.8350% LIC Housing Finance Limited (11/05/2027) ,INE115A07QO2,CRISIL AAA,500.0,505.227,0.0004,Axis Mutual Fund,AXISSTF,
7.9237% Bajaj Housing Finance Limited (16/03/2026),INE377Y07375,CRISIL AAA,50.0,501.424,0.0004,Axis Mutual Fund,AXISSTF,
6.50% Tata Capital Housing Finance Limited (15/06/2026) ,INE033L07HF1,CRISIL AAA,50.0,498.9765,0.0004,Axis Mutual Fund,AXISSTF,
6.69% Tamilnadu State Development Loans (23/09/2030),IN3120200297,Sovereign,500000.0,496.6405,0.0004,Axis Mutual Fund,AXISSTF,
7.38% Government of India (20/06/2027),IN0020220037,Sovereign,484600.0,496.1291,0.0004,Axis Mutual Fund,AXISSTF,
7.04% Government of India (03/06/2029),IN0020240050,Sovereign,479400.0,494.1459,0.0004,Axis Mutual Fund,AXISSTF,
7.56% REC Limited (31/08/2027),INE020B08FF1,ICRA AAA,454.0,459.2659,0.0004,Axis Mutual Fund,AXISSTF,
7.59% Government of India (11/01/2026),IN0020150093,Sovereign,455600.0,455.9066,0.0004,Axis Mutual Fund,AXISSTF,
6.67% Government of India (15/12/2035),IN0020210152,Sovereign,452300.0,450.5378,0.0004,Axis Mutual Fund,AXISSTF,
6.64% Government of India (16/06/2035),IN0020210020,Sovereign,410900.0,409.3977,0.0003,Axis Mutual Fund,AXISSTF,
8.5% Cholamandalam Investment and Finance Company Ltd (30/01/2027),INE121A07RT7,ICRA AA+,39254.0,397.3047,0.0003,Axis Mutual Fund,AXISSTF,
7.37% Government of India (23/10/2028),IN0020230101,Sovereign,359600.0,373.92,0.0003,Axis Mutual Fund,AXISSTF,
7.17% Government of India (17/04/2030),IN0020230036,Sovereign,339100.0,350.0709,0.0003,Axis Mutual Fund,AXISSTF,
6.75% Government of India (23/12/2029),IN0020240183,Sovereign,333600.0,340.5059,0.0003,Axis Mutual Fund,AXISSTF,
7.34% Government of India (22/04/2064),IN0020240035,Sovereign,297600.0,296.2272,0.0002,Axis Mutual Fund,AXISSTF,
7.3% Government of India (19/06/2053),IN0020230051,Sovereign,251700.0,251.587,0.0002,Axis Mutual Fund,AXISSTF,
7.17% West Bangal State Development Loans (02/03/2032),IN3420210269,Sovereign,244400.0,244.3697,0.0002,Axis Mutual Fund,AXISSTF,
6.79% Government of India (15/05/2027),IN0020170026,Sovereign,240400.0,243.8738,0.0002,Axis Mutual Fund,AXISSTF,
8.15% Government of India (24/11/2026),IN0020140060,Sovereign,210000.0,214.468,0.0002,Axis Mutual Fund,AXISSTF,
7.26% Government of India (14/01/2029),IN0020180454,Sovereign,200000.0,207.612,0.0002,Axis Mutual Fund,AXISSTF,
7.52% Uttar Pradesh State Development Loans (24/05/2027),IN3320170043,Sovereign,200000.0,203.8084,0.0002,Axis Mutual Fund,AXISSTF,
7.53% Haryana State Development Loans (24/05/2027),IN1620170010,Sovereign,200000.0,203.6072,0.0002,Axis Mutual Fund,AXISSTF,
6.1% Government of India (12/07/2031),IN0020210095,Sovereign,200000.0,196.8058,0.0002,Axis Mutual Fund,AXISSTF,
7.26% Government of India (06/02/2033),IN0020220151,Sovereign,150000.0,155.6364,0.0001,Axis Mutual Fund,AXISSTF,
7.1% Government of India (08/04/2034),IN0020240019,Sovereign,125200.0,128.9519,0.0001,Axis Mutual Fund,AXISSTF,
6.79% Government of India (07/10/2034),IN0020240126,Sovereign,126700.0,128.0986,0.0001,Axis Mutual Fund,AXISSTF,
6.92% Government of India (18/11/2039),IN0020240134,Sovereign,127200.0,127.0728,0.0001,Axis Mutual Fund,AXISSTF,
7.64% Food Corporation Of India (12/12/2029) ,INE861G08050,CRISIL AAA(CE),10.0,101.8834,0.0001,Axis Mutual Fund,AXISSTF,
6.79% Government of India (26/12/2029),IN0020160118,Sovereign,68700.0,70.194,0.0001,Axis Mutual Fund,AXISSTF,
7.90% Bajaj Housing Finance Limited (28/04/2028) ,INE377Y07417,CRISIL AAA,5.0,50.8467,$0.00%,Axis Mutual Fund,AXISSTF,
7.23% Tamilnadu State Development Loans (14/06/2027),IN3120170045,Sovereign,50000.0,50.8044,$0.00%,Axis Mutual Fund,AXISSTF,
8.3774% HDB Financial Services Limited (24/04/2026) ,INE756I07ER5,CRISIL AAA,50.0,50.1751,$0.00%,Axis Mutual Fund,AXISSTF,
8.60% Government of India (02/06/2028),IN0020140011,Sovereign,35000.0,37.1573,$0.00%,Axis Mutual Fund,AXISSTF,
7.18% Government of India (24/07/2037),IN0020230077,Sovereign,31100.0,31.8155,$0.00%,Axis Mutual Fund,AXISSTF,
7.59% Government of India (20/03/2029),IN0020150069,Sovereign,20800.0,21.7888,$0.00%,Axis Mutual Fund,AXISSTF,
7.16% Rajasthan State Development Loans (16/10/2029),IN2920190237,Sovereign,17200.0,17.4652,$0.00%,Axis Mutual Fund,AXISSTF,
8.97% Government of India (05/12/2030),IN0020110055,Sovereign,9000.0,9.976,$0.00%,Axis Mutual Fund,AXISSTF,
7.45% Bihar State Development Loans (10/09/2034),IN1320250104,Sovereign,7600.0,7.5729,$0.00%,Axis Mutual Fund,AXISSTF,
5.79% Government of India (11/05/2030),IN0020200070,Sovereign,6600.0,6.4547,$0.00%,Axis Mutual Fund,AXISSTF,
7.88% Government of India (19/03/2030),IN0020150028,Sovereign,200.0,0.2117,$0.00%,Axis Mutual Fund,AXISSTF,
Sub Total,,,,1083093.4767,0.8499,Axis Mutual Fund,AXISSTF,
(b) Privately placed / Unlisted,,,,NIL,NIL,Axis Mutual Fund,AXISSTF,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISSTF,
(a) Listed / awaiting listing on Stock Exchange,,,,NIL,NIL,Axis Mutual Fund,AXISSTF,
Sub Total,,,,NIL,NIL,Axis Mutual Fund,AXISSTF,
(b) Privately placed / Unlisted,,,,,,Axis Mutual Fund,AXISSTF,
7.7954% Reliance Life Sciences Private Limited (05/11/2027) #,INE11LM07031,CARE AAA,750.0,7570.395,0.0059,Axis Mutual Fund,AXISSTF,
Sub Total,,,,7570.395,0.0059,Axis Mutual Fund,AXISSTF,
(c) Securitised Debt,,,,,,Axis Mutual Fund,AXISSTF,
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,CRISIL AAA(SO),213.0,21412.754,0.0168,Axis Mutual Fund,AXISSTF,
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,CRISIL AAA(SO),118.0,11838.6135,0.0093,Axis Mutual Fund,AXISSTF,
India Universal Trust (20/09/2030) ,INE16J715035,IND AAA(SO),128.0,11812.8228,0.0093,Axis Mutual Fund,AXISSTF,
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,CRISIL AAA(SO),74.0,7399.4036,0.0058,Axis Mutual Fund,AXISSTF,
Sansar Trust (25/04/2031) ,INE1WMT15017,CRISIL AAA(SO),500000000.0,5005.5,0.0039,Axis Mutual Fund,AXISSTF,
India Universal Trust (21/11/2030) ,INE1CBK15037,CRISIL AAA(SO),51.0,4884.3686,0.0038,Axis Mutual Fund,AXISSTF,
Sansar Trust (25/06/2030) ,INE0YWN15017,CRISIL AAA(SO),1000000000.0,3777,0.003,Axis Mutual Fund,AXISSTF,
India Universal Trust (21/11/2027) ,INE1CBK15029,CRISIL AAA(SO),48.0,3578.7661,0.0028,Axis Mutual Fund,AXISSTF,
India Universal Trust (20/07/2027) ,INE16J715027,IND AAA(SO),34.0,2800.5099,0.0022,Axis Mutual Fund,AXISSTF,
Sansar Trust (17/03/2028) ,INE0RVR15014,CRISIL AAA(SO),450000000.0,1452.6,0.0011,Axis Mutual Fund,AXISSTF,
India Universal Trust (20/09/2026) ,INE16J715019,IND AAA(SO),12.0,303.3531,0.0002,Axis Mutual Fund,AXISSTF,
Sub Total,,,,74265.6915,0.0583,Axis Mutual Fund,AXISSTF,
Total,,,,1164929.5633,0.9141,Axis Mutual Fund,AXISSTF,
Money Market Instruments,,,,,,Axis Mutual Fund,AXISSTF,
Certificate of Deposit,,,,,,Axis Mutual Fund,AXISSTF,
HDFC Bank Limited (13/11/2026) ,INE040A16HW5,CARE A1+,2000.0,9448.26,0.0074,Axis Mutual Fund,AXISSTF,
Small Industries Dev Bank of India (04/12/2026) ,INE556F16BS0,CARE A1+,2000.0,9409.3,0.0074,Axis Mutual Fund,AXISSTF,
Small Industries Dev Bank of India (16/12/2026) ,INE556F16BT8,CARE A1+,2000.0,9389.84,0.0074,Axis Mutual Fund,AXISSTF,
Small Industries Dev Bank of India (27/10/2026) ,INE556F16BN1,CARE A1+,1000.0,4735.735,0.0037,Axis Mutual Fund,AXISSTF,
Canara Bank (20/02/2026) ,INE476A16A57,CRISIL A1+,500.0,2477.23,0.0019,Axis Mutual Fund,AXISSTF,
Small Industries Dev Bank of India (27/02/2026),INE556F16BB6,CARE A1+,200.0,989.645,0.0008,Axis Mutual Fund,AXISSTF,
HDFC Bank Limited (24/03/2026) ,INE040A16GS5,CRISIL A1+,200.0,985.756,0.0008,Axis Mutual Fund,AXISSTF,
Sub Total,,,,37435.766,0.0294,Axis Mutual Fund,AXISSTF,
Commercial Paper,,,,,,Axis Mutual Fund,AXISSTF,
Small Industries Dev Bank of India (06/03/2026) ,INE556F14LU0,CRISIL A1+,1000.0,4942.815,0.0039,Axis Mutual Fund,AXISSTF,
Sub Total,,,,4942.815,0.0039,Axis Mutual Fund,AXISSTF,
Total,,,,42378.581,0.0333,Axis Mutual Fund,AXISSTF,
Others,,,,,,Axis Mutual Fund,AXISSTF,
Alternative Investment Fund Units,,,,,,Axis Mutual Fund,AXISSTF,
SBI - Corporate Debt Market Development Fund (CDMDF) - Class A2,INF0RQ622028,,27480.142,3172.6919,0.0025,Axis Mutual Fund,AXISSTF,
Sub Total,,,,3172.6919,0.0025,Axis Mutual Fund,AXISSTF,
Total,,,,3172.6919,0.0025,Axis Mutual Fund,AXISSTF,
Reverse Repo / TREPS,,,,,,Axis Mutual Fund,AXISSTF,
Clearing Corporation of India Ltd,,,,5280.8113,0.0041,Axis Mutual Fund,AXISSTF,
Sub Total,,,,5280.8113,0.0041,Axis Mutual Fund,AXISSTF,
Total,,,,5280.8113,0.0041,Axis Mutual Fund,AXISSTF,
Net Receivables / (Payables),,,,58628.5025,0.046,Axis Mutual Fund,AXISSTF,
GRAND TOTAL,,,,1274385.93,1,Axis Mutual Fund,AXISSTF,
,,,,,,Axis Mutual Fund,AXISSTF,
#Unlisted Security,,,,,,Axis Mutual Fund,AXISSTF,
"FRN - Floating Rate Note , ZCB - Zero Coupon Bond",,,,,,Axis Mutual Fund,AXISSTF,
,,,,,,Axis Mutual Fund,AXISSTF,
$  Less Than 0.01% of Net Asset Value ,,,,,,Axis Mutual Fund,AXISSTF,
"As per SEBI Circular no. SEBI/HO/IMD/PoD1/CIR/P/2024/106 dated August 05, 2024, valuation of AT-1 Bonds are done on Yield to Call basis w.e.f. August 07, 2024. YTC of AT-1 Bonds are now same as it’s YTM and hence it is not disclosed separately under YTC.",,,,,,Axis Mutual Fund,AXISSTF,
,,,,,,Axis Mutual Fund,AXISSTF,
,,,,,,Axis Mutual Fund,AXISSTF,
,,,,,,Axis Mutual Fund,AXISSTF,
,,,,,,Axis Mutual Fund,AXISSTF,
,,,,,,Axis Mutual Fund,AXISSTF,
,Benchmark Name - NIFTY SHORT DURATION DEBT INDEX A-II,,,,,Axis Mutual Fund,AXISSTF,
Scheme Risk-O-Meter,Benchmark Risk-O-Meter,,,,,Axis Mutual Fund,AXISSTF,
Derivatives,,,,,,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps,,,,,,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (16/09/2027) (FV 2500 Lacs),,,,2.28,$0.00%,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (17/12/2026) (FV 15000 Lacs),,,,-0.18,$0.00%,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (19/12/2026) (FV 10000 Lacs),,,,-1.93,$0.00%,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Floating Receive Fix -BARC (04/12/2027) (FV 5000 Lacs),,,,-2.95,$0.00%,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (14/07/2027) (FV 5000 Lacs),,,,-3.025,$0.00%,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (07/03/2026) (FV 5000 Lacs),,,,-5.585,$0.00%,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (06/03/2026) (FV 5000 Lacs),,,,-5.645,$0.00%,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (19/03/2026) (FV 5000 Lacs),,,,-5.645,$0.00%,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Floating Receive Fix -DBS (06/11/2027) (FV 5000 Lacs),,,,-8.46,$0.00%,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (04/04/2027) (FV 2500 Lacs),,,,-10.27,$0.00%,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (20/03/2026) (FV 10000 Lacs),,,,-11.06,$0.00%,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Fix Receive Floating -ICICI BANK (10/03/2027) (FV 2500 Lacs),,,,-15.055,$0.00%,Axis Mutual Fund,AXISTAA,
Interest Rate Swaps Pay Fix Receive Floating -ICISECPD (07/02/2027) (FV 2500 Lacs),,,,-17.3275,$0.00%,Axis Mutual Fund,AXISTAA,
Sub Total,,,,-79.2075,-0.0001,Axis Mutual Fund,AXISTAA,
Total,,,,-79.2075,-0.0001,Axis Mutual Fund,AXISTAA,
Debt Instruments,,,,,,Axis Mutual Fund,AXISTAA,
(a) Listed / awaiting listing on Stock Exchange,,,,,,Axis Mutual Fund,AXISTAA,
7.43% Small Industries Dev Bank of India (31/08/2026) ,INE556F08KH1,CRISIL AAA,23000.0,23064.101,0.0324,Axis Mutual Fund,AXISTAA,
7.50% National Bank For Agriculture and Rural Development (31/08/2026),INE261F08EA6,CRISIL AAA,21500.0,21581.571,0.0303,Axis Mutual Fund,AXISTAA,
4.04% Government of India (04/10/2028),IN0020210160,Sovereign,17425000.0,17589.0564,0.0247,Axis Mutual Fund,AXISTAA,
7.44% Small Industries Dev Bank of India (04/09/2026),INE556F08KI9,CRISIL AAA,16960.0,17011.2362,0.0239,Axis Mutual Fund,AXISTAA,
7.55% Poonawalla Fincorp Limited (25/03/2027) ,INE511C07946,CRISIL AAA,14050.0,14045.223,0.0197,Axis Mutual Fund,AXISTAA,
7.48% National Bank For Agriculture and Rural Development (15/09/2028),INE261F08EO7,CRISIL AAA,12500.0,12661.8875,0.0178,Axis Mutual Fund,AXISTAA,
8.75% Motilal Oswal Finvest Limited (29/10/2027),INE01WN07136,ICRA AA+,12500.0,12611.65,0.0177,Axis Mutual Fund,AXISTAA,
9% Piramal Finance Limited (28/06/2027) ,INE202B07JT0,CARE AA,12500.0,12581.025,0.0177,Axis Mutual Fund,AXISTAA,
7.74% LIC Housing Finance Limited (22/10/2027),INE115A07QZ8,CRISIL AAA,10000.0,10121.93,0.0142,Axis Mutual Fund,AXISTAA,
7.59% REC Limited (31/05/2027) ,INE020B08FA2,CRISIL AAA,10000.0,10101.84,0.0142,Axis Mutual Fund,AXISTAA,
7.60% Poonawalla Fincorp Limited (28/05/2027) ,INE511C07870,CRISIL AAA,10000.0,9994.55,0.014,Axis Mutual Fund,AXISTAA,
7.70% REC Limited (31/08/2026) ,INE020B08FC8,ICRA AAA,9500.0,9546.8065,0.0134,Axis Mutual Fund,AXISTAA,
7.53% National Bank For Agriculture and Rural Development (24/03/2028) ,INE261F08EM1,ICRA AAA,9000.0,9117.207,0.0128,Axis Mutual Fund,AXISTAA,
7.86% Karnataka State Development Loans (15/03/2027),IN1920160117,Sovereign,8500000.0,8685.164,0.0122,Axis Mutual Fund,AXISTAA,
7.70% National Bank For Agriculture and Rural Development (30/09/2027) ,INE261F08EI9,ICRA AAA,8500.0,8619.0085,0.0121,Axis Mutual Fund,AXISTAA,
JTPM Metal Traders Limited (29/09/2028) (ZCB) ,INE02PE08036,CRISIL AA,7500.0,7727.7825,0.0108,Axis Mutual Fund,AXISTAA,
7.29% West Bengal State Development Loans (28/12/2026),IN3420160126,Sovereign,7428400.0,7528.2377,0.0106,Axis Mutual Fund,AXISTAA,
7.7201% LIC Housing Finance Limited (12/02/2026) ,INE115A07QB9,CRISIL AAA,750.0,7509.03,0.0105,Axis Mutual Fund,AXISTAA,
6.73% Power Finance Corporation Limited (15/10/2027) ,INE134E08NW3,CRISIL AAA,7500.0,7492.0875,0.0105,Axis Mutual Fund,AXISTAA,
Jubilant Beverages Limited (31/05/2028) (ZCB) ,INE1D4O08012,CRISIL AA,6500.0,6949.6245,0.0098,Axis Mutual Fund,AXISTAA,
7.1% West Bangal State Development Loans (14/12/2026),IN3420160118,Sovereign,6634700.0,6708.6504,0.0094,Axis Mutual Fund,AXISTAA,
7.55% Small Industries Dev Bank of India (22/09/2026) ,INE556F08KJ7,CRISIL AAA,6500.0,6527.04,0.0092,Axis Mutual Fund,AXISTAA,
Jubilant Bevco Limited (31/05/2028) (ZCB) ,INE1D4P08019,CRISIL AA,5500.0,5898.387,0.0083,Axis Mutual Fund,AXISTAA,
7.59% Karnataka State Development Loans (29/03/2027),IN1920160125,Sovereign,5500000.0,5605.8255,0.0079,Axis Mutual Fund,AXISTAA,
8.4% DLF Cyber City Developers Limited (18/06/2027) ,INE186K07098,ICRA AAA,5100.0,5175.072,0.0073,Axis Mutual Fund,AXISTAA,
8.65% Bharti Telecom Limited (05/11/2027),INE403D08231,CRISIL AAA,5000.0,5099.605,0.0072,Axis Mutual Fund,AXISTAA,
7.74% Tamilnadu State Development Loans (01/03/2027),IN3120161309,Sovereign,5000000.0,5098.865,0.0072,Axis Mutual Fund,AXISTAA,
8.52% Muthoot Finance Limited (07/04/2028) ,INE414G07JN3,CRISIL AA+,5000.0,5069.325,0.0071,Axis Mutual Fund,AXISTAA,
7.79% Small Industries Dev Bank of India (14/05/2027) ,INE556F08KM1,CRISIL AAA,5000.0,5065.385,0.0071,Axis Mutual Fund,AXISTAA,
7.7165% Nexus Select Trust - REIT (14/06/2028) ,INE0NDH07035,CRISIL AAA,5000.0,5061.03,0.0071,Axis Mutual Fund,AXISTAA,
7.9% LIC Housing Finance Limited (23/06/2027) ,INE115A07PV9,CRISIL AAA,500.0,5061,0.0071,Axis Mutual Fund,AXISTAA,
7.8% National Bank For Agriculture and Rural Development (15/03/2027) ,INE261F08EF5,ICRA AAA,5000.0,5054.26,0.0071,Axis Mutual Fund,AXISTAA,
8.18% Haryana Uday Bond (15/06/2026),IN1620160052,Sovereign,5000000.0,5052.92,0.0071,Axis Mutual Fund,AXISTAA,
8.33% Tata Projects Limited (24/06/2027) ,INE725H08188,IND AA,5000.0,5050.355,0.0071,Axis Mutual Fund,AXISTAA,
8.10% Godrej Industries Limited (22/05/2028) ,INE233A08154,CRISIL AA+,5000.0,5047.855,0.0071,Axis Mutual Fund,AXISTAA,
7.98% Bajaj Housing Finance Limited (09/09/2026) ,INE377Y07490,CRISIL AAA,5000.0,5031.635,0.0071,Axis Mutual Fund,AXISTAA,
8.55% Nomura Capital India Pvt Limited (30/04/2026) ,INE357L07465,IND AAA,5000.0,5021.87,0.0071,Axis Mutual Fund,AXISTAA,
8.46% Aditya Birla Capital Limited (26/02/2027) (FRN) ,INE860H07IX6,ICRA AAA,5000.0,5015.13,0.007,Axis Mutual Fund,AXISTAA,
8.15% Godrej Properties Limited (03/07/2026) ,INE484J08048,ICRA AA+,5000.0,5014.455,0.007,Axis Mutual Fund,AXISTAA,
7.27% Tata Capital Housing Finance Limited (25/04/2028) ,INE033L07IN3,CRISIL AAA,5000.0,5012.82,0.007,Axis Mutual Fund,AXISTAA,
7.88% Muthoot Finance Limited (22/11/2028),INE414G07JS2,CRISIL AA+,5000.0,5001.86,0.007,Axis Mutual Fund,AXISTAA,
6.60% REC Limited (30/06/2027) ,INE020B08FZ9,ICRA AAA,5000.0,4985.35,0.007,Axis Mutual Fund,AXISTAA,
6.52% REC Limited (31/01/2028),INE020B08FW6,ICRA AAA,5000.0,4972.7,0.007,Axis Mutual Fund,AXISTAA,
7.59% Karnataka State Development Loans (15/02/2027),IN1920160091,Sovereign,4500000.0,4578.5115,0.0064,Axis Mutual Fund,AXISTAA,
8.52% Muthoot Finance Limited (26/05/2028) ,INE414G07JO1,CRISIL AA+,4500.0,4565.3085,0.0064,Axis Mutual Fund,AXISTAA,
8.75% Piramal Finance Limited (29/10/2027) ,INE202B07JW4,ICRA AA,4500.0,4513.2795,0.0063,Axis Mutual Fund,AXISTAA,
