Name of the Instrument,ISIN,Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",AMC Name,Scheme Name,Industry / Rating,Reporting Date
8.1% Tata Capital Housing Finance Limited (19/02/2027) ,INE033L07IE2,CRISIL AAA,9000.0,9124.209,0.0072,Axis Mutual Fund,AXISSTF,,2020-12-05
8.52% Muthoot Finance Limited (26/05/2028) ,INE414G07JO1,CRISIL AA+,8500.0,8636.255,0.0068,Axis Mutual Fund,AXISSTF,,2020-12-05
Jubilant Bevco Limited (31/05/2028) (ZCB) ,INE1D4P08019,CRISIL AA,7750.0,8286.5248,0.0065,Axis Mutual Fund,AXISSTF,,2020-12-05
7.35% Bharti Telecom Limited (15/10/2027) ,INE403D08272,CRISIL AAA,8000.0,8010.96,0.0063,Axis Mutual Fund,AXISSTF,,2020-12-05
8.7% Shriram Finance Limited (09/04/2028) ,INE721A07SL9,CRISIL AA+,7500.0,7670.3025,0.006,Axis Mutual Fund,AXISSTF,,2020-12-05
7.86% Tata Capital Housing Finance Limited (21/09/2029) ,INE033L07IJ1,CRISIL AAA,7500.0,7669.335,0.006,Axis Mutual Fund,AXISSTF,,2020-12-05
8.40% Godrej Properties Limited (25/01/2028) ,INE484J08089,ICRA AA+,7500.0,7660.545,0.006,Axis Mutual Fund,AXISSTF,,2020-12-05
8.37% Aadhar Housing Finance Limited (29/05/2028) ,INE883F07389,ICRA AA,7500.0,7638.6825,0.006,Axis Mutual Fund,AXISSTF,,2020-12-05
7.45% Power Finance Corporation Limited (15/07/2028),INE134E08NP7,CRISIL AAA,7500.0,7631.1075,0.006,Axis Mutual Fund,AXISSTF,,2020-12-05
7.70% National Bank For Agriculture and Rural Development (30/09/2027) ,INE261F08EI9,ICRA AAA,7500.0,7627.2975,0.006,Axis Mutual Fund,AXISSTF,,2020-12-05
8.10% Godrej Industries Limited (22/05/2028) ,INE233A08154,CRISIL AA+,7500.0,7607.1225,0.006,Axis Mutual Fund,AXISSTF,,2020-12-05
7.8% Tata Capital Housing Finance Limited (05/08/2027) ,INE033L07HU0,CRISIL AAA,750.0,7605.3675,0.006,Axis Mutual Fund,AXISSTF,,2020-12-05
8.19% Summit Digitel Infrastructure Limited (01/11/2026) ,INE507T07112,CRISIL AAA,7500.0,7597.635,0.006,Axis Mutual Fund,AXISSTF,,2020-12-05
7.6937% Nexus Select Trust - REIT (28/05/2027) ,INE0NDH07043,CRISIL AAA,7500.0,7565.31,0.006,Axis Mutual Fund,AXISSTF,,2020-12-05
7.43% Small Industries Dev Bank of India (31/08/2026) ,INE556F08KH1,CRISIL AAA,7500.0,7536.57,0.0059,Axis Mutual Fund,AXISSTF,,2020-12-05
8.06% Summit Digitel Infrastructure Limited (29/01/2029) ,INE507T07120,CRISIL AAA,7000.0,7218.407,0.0057,Axis Mutual Fund,AXISSTF,,2020-12-05
7.7165% Nexus Select Trust - REIT (14/06/2028) ,INE0NDH07035,CRISIL AAA,7000.0,7106.379,0.0056,Axis Mutual Fund,AXISSTF,,2020-12-05
7.45% Bharti Telecom Limited (15/12/2028),INE403D08280,CRISIL AAA,7000.0,7027.916,0.0055,Axis Mutual Fund,AXISSTF,,2020-12-05
7.49% punjab State Development Loans (03/12/2035),IN2820250149,Sovereign,6500000.0,6556.81,0.0052,Axis Mutual Fund,AXISSTF,,2020-12-05
7.5% West Bengal State Development Loans (03/12/2037),IN3420250166,Sovereign,6500000.0,6529.289,0.0051,Axis Mutual Fund,AXISSTF,,2020-12-05
8.4% DLF Cyber City Developers Limited (18/06/2027) ,INE186K07098,ICRA AAA,6400.0,6504.768,0.0051,Axis Mutual Fund,AXISSTF,,2020-12-05
7.3% Bharti Telecom Limited (01/12/2027) ,INE403D08306,CRISIL AAA,6000.0,6003.768,0.0047,Axis Mutual Fund,AXISSTF,,2020-12-05
7.75% Mindspace Business Parks REIT (30/06/2026) ,INE0CCU07082,CRISIL AAA,5500.0,5531.1355,0.0044,Axis Mutual Fund,AXISSTF,,2020-12-05
8.55% Indian Railway Finance Corporation Limited (21/02/2029) ,INE053F07BA5,CRISIL AAA,500.0,5260.41,0.0041,Axis Mutual Fund,AXISSTF,,2020-12-05
JTPM Metal Traders Limited (29/09/2028) (ZCB) ,INE02PE08036,CRISIL AA,5000.0,5141.275,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.89% Summit Digitel Infrastructure Limited (30/04/2029) ,INE507T07138,CRISIL AAA,5000.0,5131.79,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
8.05% HDB Financial Services Limited (08/08/2029) ,INE756I07EV7,CRISIL AAA,500.0,5120.715,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.34% Small Industries Dev Bank of India (26/02/2029) ,INE556F08KS8,CRISIL AAA,5000.0,5089.415,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
8.65% Muthoot Finance Limited (31/01/2028),INE414G07JL7,CRISIL AA+,5000.0,5088.0,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
8.60% Muthoot Finance Limited (02/03/2028) ,INE414G07JM5,CRISIL AA+,5000.0,5085.645,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.74% LIC Housing Finance Limited (22/10/2027),INE115A07QZ8,CRISIL AAA,5000.0,5080.645,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.83% Indian Railway Finance Corporation Limited (19/03/2027),INE053F07983,CRISIL AAA,500.0,5079.095,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.43% National Bank For Financing Infrastructure And Development (16/06/2033) ,INE0KUG08019,CRISIL AAA,5000.0,5076.17,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.60% Power Finance Corporation Limited (20/02/2027) ,INE134E08IT9,CRISIL AAA,500.0,5065.85,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.59% REC Limited (31/05/2027) ,INE020B08FA2,CRISIL AAA,5000.0,5065.455,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.71% REC Limited (26/02/2027) ,INE020B08EW9,CRISIL AAA,5000.0,5062.92,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.30% Power Finance Corporation Limited (07/08/2027) ,INE134E08JE9,CRISIL AAA,500.0,5049.99,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.18% Power Finance Corporation Limited (20/01/2027) ,INE134E08IR3,CRISIL AAA,500.0,5039.135,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.04% IndiGRID Infrastructure Trust (27/09/2028) ,INE219X07512,CRISIL AAA,5000.0,5029.155,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.08% Power Grid Corporation of India Limited (25/10/2034) ,INE752E08767,CRISIL AAA,5000.0,5024.61,0.004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.10% Bajaj Housing Finance Limited (16/10/2028),INE377Y07607,CRISIL AAA,5000.0,5017.45,0.0039,Axis Mutual Fund,AXISSTF,,2020-12-05
6.90% LIC Housing Finance Limited (17/09/2027) ,INE115A07RH4,CRISIL AAA,5000.0,5007.835,0.0039,Axis Mutual Fund,AXISSTF,,2020-12-05
6.87% REC Limited (31/05/2030) ,INE020B08FU0,ICRA AAA,5000.0,5003.755,0.0039,Axis Mutual Fund,AXISSTF,,2020-12-05
7.60% Poonawalla Fincorp Limited (28/05/2027) ,INE511C07870,CRISIL AAA,5000.0,4999.58,0.0039,Axis Mutual Fund,AXISSTF,,2020-12-05
6.64% Power Finance Corporation Limited (15/07/2030) ,INE134E08NR3,CRISIL AAA,5000.0,4970.425,0.0039,Axis Mutual Fund,AXISSTF,,2020-12-05
7.98% Bajaj Housing Finance Limited (18/11/2027) ,INE377Y07383,CRISIL AAA,450.0,4590.261,0.0036,Axis Mutual Fund,AXISSTF,,2020-12-05
7.15% Sundaram Home Finance Limited (16/05/2028) ,INE667F07JB3,ICRA AAA,4500.0,4512.8295,0.0036,Axis Mutual Fund,AXISSTF,,2020-12-05
7.44% Madhya Pradesh State Development Loans (03/12/2038),IN2120250260,Sovereign,4377800.0,4406.2951,0.0035,Axis Mutual Fund,AXISSTF,,2020-12-05
7.39% Andhra Pradesh State Development Loans (03/04/2030),IN1020240017,Sovereign,3999500.0,4101.8512,0.0032,Axis Mutual Fund,AXISSTF,,2020-12-05
6.79% Government of India (30/12/2031),IN0020240191,Sovereign,4000000.0,4075.648,0.0032,Axis Mutual Fund,AXISSTF,,2020-12-05
8.75% Godrej Finance Limited (18/01/2027) ,INE02KN07022,CRISIL AA+,4000.0,4057.404,0.0032,Axis Mutual Fund,AXISSTF,,2020-12-05
7.8% National Bank For Agriculture and Rural Development (15/03/2027),INE261F08EF5,ICRA AAA,4000.0,4054.712,0.0032,Axis Mutual Fund,AXISSTF,,2020-12-05
6.92% DLF Cyber City Developers Limited (28/07/2028) ,INE186K07122,CRISIL AAA,4000.0,4004.24,0.0032,Axis Mutual Fund,AXISSTF,,2020-12-05
7.4091% HDB Financial Services Limited (05/06/2028) ,INE756I07FG5,CRISIL AAA,3500.0,3522.6625,0.0028,Axis Mutual Fund,AXISSTF,,2020-12-05
8.95% Muthoot Finance Limited (03/05/2027) ,INE414G07JD4,CRISIL AA+,3200.0,3254.8832,0.0026,Axis Mutual Fund,AXISSTF,,2020-12-05
7.7% Andhra Pradesh State Development Loans (08/03/2029),IN1020220720,Sovereign,3000000.0,3102.084,0.0024,Axis Mutual Fund,AXISSTF,,2020-12-05
7.27% Tata Capital Housing Finance Limited (25/04/2028) ,INE033L07IN3,CRISIL AAA,3000.0,3016.107,0.0024,Axis Mutual Fund,AXISSTF,,2020-12-05
7.44% Power Finance Corporation Limited (11/06/2027) ,INE134E08JC3,CRISIL AAA,270.0,2730.0996,0.0021,Axis Mutual Fund,AXISSTF,,2020-12-05
8.35% Indian Railway Finance Corporation Limited (13/03/2029) ,INE053F07BC1,CRISIL AAA,250.0,2618.01,0.0021,Axis Mutual Fund,AXISSTF,,2020-12-05
7.75% Power Finance Corporation Limited (11/06/2030) ,INE134E08KV1,CRISIL AAA,250.0,2589.5725,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.6% Andhra Pradesh State Development Loans (06/04/2029),IN1020230018,Sovereign,2500000.0,2578.065,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.62% National Bank For Agriculture and Rural Development (10/05/2029) ,INE261F08EH1,CRISIL AAA,2500.0,2561.55,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.44% Power Finance Corporation Limited (15/01/2030) ,INE134E08NO0,CRISIL AAA,2500.0,2557.8075,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.45% REC Limited (31/08/2035) ,INE020B08FG9,ICRA AAA,2500.0,2557.0475,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.38% Power Finance Corporation Limited (15/01/2032) ,INE134E08NM4,CRISIL AAA,2500.0,2549.5775,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.34% REC Limited (30/04/2030) ,INE020B08FL9,CRISIL AAA,2500.0,2545.6125,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
8.1% Bajaj Housing Finance Limited (08/07/2027),INE377Y07482,CRISIL AAA,2500.0,2545.0075,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
8.08% Kotak Mahindra Prime Limited (21/10/2027) ,INE916DA7SV2,CRISIL AAA,2500.0,2543.9975,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.75% LIC Housing Finance Limited (23/11/2027) ,INE115A07MQ6,CRISIL AAA,250.0,2543.0275,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.68% Small Industries Dev Bank of India (10/09/2027) ,INE556F08KQ2,CRISIL AAA,2500.0,2541.5825,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
8.30% Godrej Properties Limited (19/03/2027) ,INE484J08055,ICRA AA+,2500.0,2533.3325,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.12% Power Grid Corporation of India Limited (24/12/2034) ,INE752E08775,CRISIL AAA,2500.0,2519.8775,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.70% REC Limited (31/08/2026) ,INE020B08FC8,ICRA AAA,2500.0,2517.625,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.77% Power Finance Corporation Limited (15/07/2026) ,INE134E08MC7,CRISIL AAA,2500.0,2517.5925,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.3763% Bajaj Finance Limited (26/06/2028),INE296A07TJ4,CRISIL AAA,2500.0,2515.0025,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.2337% Bajaj Finance Limited (28/06/2027) ,INE296A07TK2,CRISIL AAA,2500.0,2505.7275,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
6.94% Power Grid Corporation of India Limited (15/04/2035) ,INE752E08783,CRISIL AAA,2500.0,2488.61,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
6.54% Rajasthan State Development Loans (18/11/2030),IN2920200481,Sovereign,2500000.0,2481.395,0.002,Axis Mutual Fund,AXISSTF,,2020-12-05
6.65% National Bank For Agriculture and Rural Development (25/05/2035) ,INE261F08CE2,ICRA AAA,250.0,2437.9725,0.0019,Axis Mutual Fund,AXISSTF,,2020-12-05
8.9% Bharti Telecom Limited (05/11/2034) ,INE403D08215,CRISIL AAA,2000.0,2151.048,0.0017,Axis Mutual Fund,AXISSTF,,2020-12-05
7.54% Bihar State Development Loans (03/09/2033),IN1320250088,Sovereign,2000000.0,2041.18,0.0016,Axis Mutual Fund,AXISSTF,,2020-12-05
7.68% Small Industries Dev Bank of India (09/07/2027) ,INE556F08KO7,CRISIL AAA,2000.0,2030.932,0.0016,Axis Mutual Fund,AXISSTF,,2020-12-05
8.05% Muthoot Finance Limited (25/11/2027),INE414G07JQ6,CRISIL AA+,2000.0,2016.202,0.0016,Axis Mutual Fund,AXISSTF,,2020-12-05
6.58% Gujarat State Development Loans (31/03/2027),IN1520200347,Sovereign,2000000.0,2013.374,0.0016,Axis Mutual Fund,AXISSTF,,2020-12-05
7.68% Godrej Seeds & Genetics Limited (28/01/2028) ,INE316Z08022,CRISIL AA,2000.0,1997.434,0.0016,Axis Mutual Fund,AXISSTF,,2020-12-05
7.68% Godrej Seeds & Genetics Limited (28/04/2028) ,INE316Z08048,CRISIL AA,2000.0,1996.654,0.0016,Axis Mutual Fund,AXISSTF,,2020-12-05
7.68% Godrej Seeds & Genetics Limited (28/07/2028) ,INE316Z08030,CRISIL AA,2000.0,1995.026,0.0016,Axis Mutual Fund,AXISSTF,,2020-12-05
7.68% Godrej Seeds & Genetics Limited (27/10/2028) ,INE316Z08014,CRISIL AA,2000.0,1994.952,0.0016,Axis Mutual Fund,AXISSTF,,2020-12-05
7.98% Bajaj Housing Finance Limited (09/09/2026),INE377Y07490,CRISIL AAA,1900.0,1916.0778,0.0015,Axis Mutual Fund,AXISSTF,,2020-12-05
Government of India (05/08/2032),IN000832C039,Sovereign,2552400.0,1639.6005,0.0013,Axis Mutual Fund,AXISSTF,,2020-12-05
Government of India (15/10/2032),IN001032C043,Sovereign,2518500.0,1594.689,0.0013,Axis Mutual Fund,AXISSTF,,2020-12-05
9.233% Shriram Finance Limited (18/05/2027) ,INE721A07RV0,CRISIL AA+,1500.0,1536.9585,0.0012,Axis Mutual Fund,AXISSTF,,2020-12-05
6.76% Government of India (22/08/2027),IN000827C021,Sovereign,1690000.0,1531.1366,0.0012,Axis Mutual Fund,AXISSTF,,2020-12-05
7.96% Embassy Office Parks REIT (27/09/2027),INE041007142,CRISIL AAA,1500.0,1525.9365,0.0012,Axis Mutual Fund,AXISSTF,,2020-12-05
7.6% Kotak Mahindra Prime Limited (19/05/2028) ,INE916DA7SZ3,CRISIL AAA,1500.0,1516.857,0.0012,Axis Mutual Fund,AXISSTF,,2020-12-05
6.09% Power Finance Corporation Limited (27/08/2026) ,INE134E08LK2,CRISIL AAA,150.0,1494.039,0.0012,Axis Mutual Fund,AXISSTF,,2020-12-05
Government of India (22/10/2028),IN001028C033,Sovereign,1541400.0,1300.0044,0.001,Axis Mutual Fund,AXISSTF,,2020-12-05
4.7% Government of India (22/09/2033),IN0020200120,Sovereign,1162000.0,1202.5747,0.0009,Axis Mutual Fund,AXISSTF,,2020-12-05
5.85% REC Limited (20/12/2025) ,INE020B08DF6,CRISIL AAA,119.0,1189.8215,0.0009,Axis Mutual Fund,AXISSTF,,2020-12-05
7.54% Andhra Pradesh State Development Loans (11/01/2029),IN1020220613,Sovereign,1000000.0,1028.162,0.0008,Axis Mutual Fund,AXISSTF,,2020-12-05
7.35% Export Import Bank of India (27/07/2028) ,INE514E08GE8,CRISIL AAA,1000.0,1019.04,0.0008,Axis Mutual Fund,AXISSTF,,2020-12-05
8.30% Godrej Industries Limited (12/06/2026) ,INE233A08071,CRISIL AA+,1000.0,1005.571,0.0008,Axis Mutual Fund,AXISSTF,,2020-12-05
Government of India (05/02/2027),IN000227C032,Sovereign,1063500.0,995.319,0.0008,Axis Mutual Fund,AXISSTF,,2020-12-05
Government of India (05/02/2028),IN000228C030,Sovereign,1063500.0,935.126,0.0007,Axis Mutual Fund,AXISSTF,,2020-12-05
9.20% Government of India (30/09/2030),IN0020130053,Sovereign,500000.0,560.6915,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.32% Government of India (13/11/2030),IN0020230135,Sovereign,500000.0,522.752,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
8.22% National Bank For Agriculture and Rural Development (13/12/2028) ,INE261F08AV0,CRISIL AAA,50.0,521.688,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
8.44% HDFC Bank Limited (28/12/2028) ,INE040A08393,CRISIL AAA,50.0,520.944,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.99% LIC Housing Finance Limited (12/07/2029) ,INE115A07OF5,CRISIL AAA,50.0,515.4265,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
8.12% Kotak Mahindra Prime Limited (21/06/2027) ,INE916DA7SU4,CRISIL AAA,500.0,507.592,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.7951% Bajaj Finance Limited (10/12/2027) ,INE296A07TF2,CRISIL AAA,500.0,506.9345,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.8350% LIC Housing Finance Limited (11/05/2027) ,INE115A07QO2,CRISIL AAA,500.0,506.8075,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.9237% Bajaj Housing Finance Limited (16/03/2026) ,INE377Y07375,CRISIL AAA,50.0,501.9845,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
6.69% Tamilnadu State Development Loans (23/09/2030),IN3120200297,Sovereign,500000.0,500.6965,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
6.50% Tata Capital Housing Finance Limited (15/06/2026) ,INE033L07HF1,CRISIL AAA,50.0,499.256,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.38% Government of India (20/06/2027),IN0020220037,Sovereign,484600.0,496.8662,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.04% Government of India (03/06/2029),IN0020240050,Sovereign,479400.0,495.7763,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.56% REC Limited (31/08/2027) ,INE020B08FF1,ICRA AAA,454.0,460.7401,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
7.59% Government of India (11/01/2026),IN0020150093,Sovereign,455600.0,456.5135,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
6.67% Government of India (15/12/2035),IN0020210152,Sovereign,452300.0,453.4276,0.0004,Axis Mutual Fund,AXISSTF,,2020-12-05
6.64% Government of India (16/06/2035),IN0020210020,Sovereign,410900.0,411.8418,0.0003,Axis Mutual Fund,AXISSTF,,2020-12-05
6.68% Government of India (07/07/2040),IN0020250042,Sovereign,418400.0,410.855,0.0003,Axis Mutual Fund,AXISSTF,,2020-12-05
8.5% Cholamandalam Investment and Finance Company Ltd (30/01/2027) ,INE121A07RT7,ICRA AA+,39254.0,397.7981,0.0003,Axis Mutual Fund,AXISSTF,,2020-12-05
7.37% Government of India (23/10/2028),IN0020230101,Sovereign,359600.0,374.5921,0.0003,Axis Mutual Fund,AXISSTF,,2020-12-05
7.17% Government of India (17/04/2030),IN0020230036,Sovereign,339100.0,352.0017,0.0003,Axis Mutual Fund,AXISSTF,,2020-12-05
6.75% Government of India (23/12/2029),IN0020240183,Sovereign,333600.0,341.7482,0.0003,Axis Mutual Fund,AXISSTF,,2020-12-05
7.34% Government of India (22/04/2064),IN0020240035,Sovereign,297600.0,295.0624,0.0002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.3% Government of India (19/06/2053),IN0020230051,Sovereign,251700.0,251.7488,0.0002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.17% West Bangal State Development Loans (02/03/2032),IN3420210269,Sovereign,244400.0,245.4844,0.0002,Axis Mutual Fund,AXISSTF,,2020-12-05
6.79% Government of India (15/05/2027),IN0020170026,Sovereign,240400.0,244.2142,0.0002,Axis Mutual Fund,AXISSTF,,2020-12-05
8.15% Government of India (24/11/2026),IN0020140060,Sovereign,210000.0,214.9762,0.0002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.26% Government of India (14/01/2029),IN0020180454,Sovereign,200000.0,207.9122,0.0002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.52% Uttar Pradesh State Development Loans (24/05/2027),IN3320170043,Sovereign,200000.0,203.9708,0.0002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.53% Haryana State Development Loans (24/05/2027),IN1620170010,Sovereign,200000.0,203.9308,0.0002,Axis Mutual Fund,AXISSTF,,2020-12-05
6.1% Government of India (12/07/2031),IN0020210095,Sovereign,200000.0,197.803,0.0002,Axis Mutual Fund,AXISSTF,,2020-12-05
7.26% Government of India (06/02/2033),IN0020220151,Sovereign,150000.0,156.1983,0.0001,Axis Mutual Fund,AXISSTF,,2020-12-05
7.1% Government of India (08/04/2034),IN0020240019,Sovereign,125200.0,129.5511,0.0001,Axis Mutual Fund,AXISSTF,,2020-12-05
6.79% Government of India (07/10/2034),IN0020240126,Sovereign,126700.0,128.6139,0.0001,Axis Mutual Fund,AXISSTF,,2020-12-05
6.92% Government of India (18/11/2039),IN0020240134,Sovereign,127200.0,127.6462,0.0001,Axis Mutual Fund,AXISSTF,,2020-12-05
7.64% Food Corporation Of India (12/12/2029) ,INE861G08050,CRISIL AAA(CE),10.0,102.4478,0.0001,Axis Mutual Fund,AXISSTF,,2020-12-05
6.79% Government of India (26/12/2029),IN0020160118,Sovereign,68700.0,70.4262,0.0001,Axis Mutual Fund,AXISSTF,,2020-12-05
7.90% Bajaj Housing Finance Limited (28/04/2028) ,INE377Y07417,CRISIL AAA,5.0,51.0309,0.0,Axis Mutual Fund,AXISSTF,,2020-12-05
7.23% Tamilnadu State Development Loans (14/06/2027),IN3120170045,Sovereign,50000.0,50.8323,0.0,Axis Mutual Fund,AXISSTF,,2020-12-05
8.3774% HDB Financial Services Limited (24/04/2026) ,INE756I07ER5,CRISIL AAA,50.0,50.197,0.0,Axis Mutual Fund,AXISSTF,,2020-12-05
8.60% Government of India (02/06/2028),IN0020140011,Sovereign,35000.0,37.2688,0.0,Axis Mutual Fund,AXISSTF,,2020-12-05
7.18% Government of India (24/07/2037),IN0020230077,Sovereign,31100.0,32.0488,0.0,Axis Mutual Fund,AXISSTF,,2020-12-05
7.59% Government of India (20/03/2029),IN0020150069,Sovereign,20800.0,21.8513,0.0,Axis Mutual Fund,AXISSTF,,2020-12-05
7.16% Rajasthan State Development Loans (16/10/2029),IN2920190237,Sovereign,17200.0,17.5314,0.0,Axis Mutual Fund,AXISSTF,,2020-12-05
8.97% Government of India (05/12/2030),IN0020110055,Sovereign,9000.0,10.0412,0.0,Axis Mutual Fund,AXISSTF,,2020-12-05
7.45% Bihar State Development Loans (10/09/2034),IN1320250104,Sovereign,7600.0,7.6892,0.0,Axis Mutual Fund,AXISSTF,,2020-12-05
5.79% Government of India (11/05/2030),IN0020200070,Sovereign,6600.0,6.4877,0.0,Axis Mutual Fund,AXISSTF,,2020-12-05
7.88% Government of India (19/03/2030),IN0020150028,Sovereign,200.0,0.2127,0.0,Axis Mutual Fund,AXISSTF,,2020-12-05
Sub Total,,,,1102635.9524,0.8675,Axis Mutual Fund,AXISSTF,,2020-12-05
(b) Privately placed / Unlisted,,,,,,Axis Mutual Fund,AXISSTF,,2020-12-05
Sub Total,,,,,,Axis Mutual Fund,AXISSTF,,2020-12-05
(a) Listed / awaiting listing on Stock Exchange,,,,,,Axis Mutual Fund,AXISSTF,,2020-12-05
Sub Total,,,,,,Axis Mutual Fund,AXISSTF,,2020-12-05
7.7954% Reliance Life Sciences Private Limited (05/11/2027) #,INE11LM07031,CARE AAA,750.0,7594.5225,0.006,Axis Mutual Fund,AXISSTF,,2020-12-05
Sub Total,,,,7594.5225,0.006,Axis Mutual Fund,AXISSTF,,2020-12-05
Siddhivinayak Securitisation Trust (28/09/2030) ,INE2I7F15012,CRISIL AAA(SO),213.0,21640.0597,0.017,Axis Mutual Fund,AXISSTF,,2020-12-05
Shivshakti Securitisation Trust (28/09/2029) ,INE2I7G15010,CRISIL AAA(SO),118.0,11972.3837,0.0094,Axis Mutual Fund,AXISSTF,,2020-12-05
India Universal Trust (20/09/2030) ,INE16J715035,IND AAA(SO),128.0,11912.0065,0.0094,Axis Mutual Fund,AXISSTF,,2020-12-05
Radhakrishna Securitisation Trust (28/09/2028) ,INE2I7H15018,CRISIL AAA(SO),74.0,7492.1914,0.0059,Axis Mutual Fund,AXISSTF,,2020-12-05
Sansar Trust (25/04/2031) ,INE1WMT15017,CRISIL AAA(SO),500000000.0,5008.5,0.0039,Axis Mutual Fund,AXISSTF,,2020-12-05
India Universal Trust (21/11/2030) ,INE1CBK15037,CRISIL AAA(SO),51.0,4917.5669,0.0039,Axis Mutual Fund,AXISSTF,,2020-12-05
Sansar Trust (25/06/2030) ,INE0YWN15017,CRISIL AAA(SO),1000000000.0,4207.0,0.0033,Axis Mutual Fund,AXISSTF,,2020-12-05
India Universal Trust (21/11/2027) ,INE1CBK15029,CRISIL AAA(SO),48.0,3680.6232,0.0029,Axis Mutual Fund,AXISSTF,,2020-12-05
India Universal Trust (20/07/2027) ,INE16J715027,IND AAA(SO),34.0,2845.7611,0.0022,Axis Mutual Fund,AXISSTF,,2020-12-05
Sansar Trust (17/03/2028) ,INE0RVR15014,CRISIL AAA(SO),450000000.0,1568.25,0.0012,Axis Mutual Fund,AXISSTF,,2020-12-05
India Universal Trust (20/09/2026) ,INE16J715019,IND AAA(SO),12.0,363.7287,0.0003,Axis Mutual Fund,AXISSTF,,2020-12-05
Sub Total,,,,75608.0712,0.0595,Axis Mutual Fund,AXISSTF,,2020-12-05
Total,,,,1185838.5461,0.9329,Axis Mutual Fund,AXISSTF,,2020-12-05
HDFC Bank Limited (13/11/2026) ,INE040A16HW5,CARE A1+,2000.0,9428.84,0.0074,Axis Mutual Fund,AXISSTF,,2020-12-05
Small Industries Dev Bank of India (04/12/2026) ,INE556F16BS0,CARE A1+,2000.0,9395.45,0.0074,Axis Mutual Fund,AXISSTF,,2020-12-05
Union Bank of India (26/05/2026),INE692A16KG0,ICRA A1+,1000.0,4857.43,0.0038,Axis Mutual Fund,AXISSTF,,2020-12-05
Small Industries Dev Bank of India (27/10/2026) ,INE556F16BN1,CARE A1+,1000.0,4727.64,0.0037,Axis Mutual Fund,AXISSTF,,2020-12-05
Canara Bank (20/02/2026) ,INE476A16A57,CRISIL A1+,500.0,2469.66,0.0019,Axis Mutual Fund,AXISSTF,,2020-12-05
